unfips	hedge_p_79_80	stone_p_79_80	rail_p_79_80	nativewood_p_79_80	pine_p_79_80	post_p_79_80	barbed_p_79_80	plain_p_79_80
20001	0.75	2	5	1.75	2.75	6	0.35	0.3
20003	0.65	1.75	5.5	1.75	2.75	7.5	0.35	0.3
20005	0.75	2	6.5	1.5	2.65	8	0.5	0.4
20007		1.5	7.5	2	4	8.5	0.48	0.36
20009	0.75	4	8	4	3.5	15	0.65	0.42
20011	0.6	1.75	3.25	2.25	3	6	0.4	0.35
20013	0.5	2	1.25	1.75	2.25	12	0.45	0.35
20015	0.8	1.6	9	2.5	3.25	12	0.5	0.4
20017	0.75	2.2	6	2.25	2.5	10	0.65	0.4
20019	0.75	1.6	2.75	2	3.5	5	0.5	0.35
20021	0.65	0.5	3.5	2	3.5	4.75	0.4	0.3
20027	0.75	2.25	5.5	1.75	3.25	12	0.65	0.55
20029	0.62	1.25	16	2.5	3	16	0.55	0.4
20031	0.8	2	4.75	2	2.6	8	0.45	0.35
20035	0.65	2	5	2.25	3.5	7.5	0.6	0.5
20037	0.8	1.5	4	2	3	7.5	0.65	0.5
20061	0.65	1.5	6	2	2.25	16	0.55	0.45
20039				2.5	3.5	12.5	0.65	0.45
20041	0.75	1	7.5	1.5	2.5	8	0.45	0.35
20043	0.75	1.5	5.5	1.5	2.25	12.5	0.65	0.45
20045	0.4	1.4	6	2	2.5	8	0.45	0.35
20047	0.375	1.75	12	3	4	8	0.55	0.42
20049	0.8	1.5	2.25	2	3.25	5	0.5	0.4
20051	0.5	3	5	2.5	3	8	0.55	0.5
20053	1	1.25		2.5	3.25	7	0.45	0.3
20057					3	8.5	1	0.6
20059	0.75	1.75	4.5	2	2.75	6.25	0.45	0.35
20065		1.75	4.5		2.75	10		
20073	1	2	4	1.75	2.25		0.5	0.4
20077	1	3.2	12	2.5	3	12	0.5	0.4
20079	0.7	2			2.75	10	0.6	0.4
20083								
20085	1	1.25	2.5	2	2.5	9	0.5	0.4
20087	0.8	1.5	6.5	1.75	2.25	8	0.7	0.5
20089	0.5	1.5	8	2	2.5	10	0.6	0.2
20091	0.75	2	5	2.25	2.5	8.5	0.8	0.5
20095	0.875				2.75	12.5	0.6	0.4
20099	0.75	1.4	3.25	1.5	2.25	5	0.5	0.4
20103	0.8	1.5	3.5	1.75	2.25		0.5	0.4
20105	1.5	1.5	8	1.5	2.5	12.5	0.5	0.35
20107	0.55	1.5	2	2	2.5	5	0.5	0.35
20111	0.75	1.75	2	1.75	2.25	7.5	0.5	0.35
20115	0.65	0.85	7.5	2.25	2.75	15	0.6	0.5
20117	1	2	8	1.5	2.25	10	0.55	0.4
20113	0.75	1.25		1.8	2.25	18	0.5	0.4
20121	0.65	1.75	5	2	2.5	7.5	0.5	0.4
20123	0.6	1	7.5	1.8	2.5	15	0.4	0.3
20125	0.75	1.5	3.5	1.5	2.5	5.5	0.45	0.35
20127	1	1.75	5.5	2.75	3.25	10.5	0.55	0.45
20131	0.75	1.75	10	1.75	2.25	12.5	0.5	0.38
20133	1	1.5	3	2	2.5	6	0.5	0.4
20135								
20137	1	1.5	12	2	3	10	0.4	0.3
20139	0.75	1.6	10	2	2.5	8	0.45	0.3
20141		1.75	12.5	2	2.5	2.5	0.35	0.3
20143	1	2.75	12.5	2.25	3	15	0.55	0.45
20145					3	20	0.5	0.4
20147				2	3	12.5	0.45	0.3
20149	1	1.5	7.5	1.75	2.25	10	0.5	0.4
20151				2	4	10	1	0.8
20153								
20155	0.75				2.5	12.5	0.6	0.45
20157	0.8	1.75	10	2.25	2.75	12.5	0.5	0.4
20159	1.5				3.25	14	0.5	0.35
20161	1	1.5	10	2	2.5	10	0.5	0.4
20163		1.5	5.5	2	2.75	12	0.45	0.35
20165	1.5	1.6	6.5	2	2.75	10	0.45	0.35
20167	0.75	1.5			3	12	0.55	0.45
20169	0.75	1.4	7.5	1.75	2.75	10	0.6	0.45
20173	0.7	1.5	6	2.5	3.25	10	0.5	0.4
20177	0.75	1.5	8	1.75	2.25	10.5	0.6	0.45
20179								
20183	1	1.5	7.5	2	3	12	0.5	0.4
20185					3.75	13		
20191	0.75		6	2.25	3	15	0.7	0.55
20195		2			2.8	25	0.6	0.4
20197	1.25	1.75	7.5	2	2.5	10	0.45	0.4
20201	1	1.25	9	1.5	2.25	11	0.5	0.4
20205	0.75	1.75	4.5	2.15	2.8	6.75	0.4	0.32
20207	1.5	1.4	3.5	1.6	3	6	0.35	0.3
20209								
