AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	xaxis	yaxis
4114.430	334.043	WHATCOM	Washington	53073	3714.2	355.31727806900	2003.33393614000
1866.921	224.959	CLALLAM	Washington	53009	1685.3	238.68156660400	1992.01531069000
202.598	93.502	SAN JUAN	Washington	53055	179.0	297.87104533500	2012.37499360000
15406.814	711.067	STEVENS	Washington	53065	13908.1	473.49439702400	1952.89254692000
188.267	114.595	ISLAND	Washington	53029	212.0	306.01869226900	1978.26999739000
2022.405	307.543	JEFFERSON	Washington	53031	1825.7	249.67803505900	1966.26546475000
2336.777	225.965	SNOHOMISH	Washington	53061	2109.5	344.39085939700	1959.66060365000
5889.330	383.759	KOOTENAI	Idaho	16055	5316.4	587.26394126800	1901.38750720000
399.121	147.656	KITSAP	Washington	53035	360.3	288.76752808200	1942.12067899000
2065.701	254.061	CHEHALIS	Washington	53081	1864.8	227.98147943700	1927.45406980000
20947.977	771.113	MISSOULA	Montana	30063	18910.2	679.68855027400	1853.69849614000
1011.035	202.591	MASON	Washington	53045	912.7	257.68271559800	1932.42498506000
2319.849	234.470	KING	Washington	53033	2094.2	328.28927461000	1922.09663400000
9766.091	600.145	SPOKANE	Washington	53063	8816.1	471.03775576400	1885.72462291000
28438.947	773.705	CHOTEAU	Montana	30015	25672.5	881.60239760800	1857.01133216000
9453.691	510.001	YAKIMA	Washington	53077	8534.1	373.10301355000	1850.59989786000
7766.643	465.764	AROOSTOOK	Maine	23003	7011.1	2949.97487604000	1874.07107456000
790.834	171.683	THURSTON	Washington	53067	713.9	266.21472093200	1897.45686821000
951.039	203.490	PACIFIC	Washington	53049	858.5	218.13483317100	1884.82224391000
8132.123	610.671	DEERLODGE	Montana	30023	7341.1	739.55539844300	1771.77618927000
2678.441	263.560	LEWIS	Washington	53041	2417.9	280.26373155000	1867.82569024000
5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	611.78677674800	1817.37161891000
29632.248	697.842	DAWSON	Montana	30021	26749.7	1099.33381475000	1804.67814697000
6950.332	431.420	BELTRAMI	Minnesota	27007	6274.2	1639.11895856000	1797.90199495000
268.052	89.482	WAHKIAKUM	Washington	53069	242.0	225.41170724200	1862.55681028000
