unfips,year,timber
8005,1870,0.0003234
8013,1870,0.0004053
8019,1870,0.0116086
8021,1870,0.0001503
8023,1870,0.0002581
8035,1870,0.000911
8041,1870,0.0037794
8043,1870,0.0007211
8047,1870,0.0237881
8055,1870,0.0008376
8059,1870,0.0123404
8069,1870,0.0011793
8071,1870,0.0000132
8093,1870,0.0063429
8101,1870,0.0022327
8109,1870,3.25E-07
8123,1870,0.0000523
19001,1870,0.0183945
19003,1870,0.0390464
19005,1870,0.2737335
19007,1870,0.2030789
19009,1870,0.0158338
19011,1870,0.0498967
19013,1870,0.0529157
19015,1870,0.0503253
19017,1870,0.0869005
19019,1870,0.0800058
19021,1870,0.0048625
19023,1870,0.0414442
19025,1870,0.0073168
19027,1870,0.0094578
19029,1870,0.0273233
19031,1870,0.0902101
19033,1870,0.0173903
19035,1870,0.0058214
19037,1870,0.0850082
19039,1870,0.1064315
19041,1870,0.0090499
19043,1870,0.2771914
19045,1870,0.0611176
19047,1870,0.0136088
19049,1870,0.0746281
19051,1870,0.2557097
19053,1870,0.1895004
19055,1870,0.1489503
19057,1870,0.2282478
19059,1870,0.009515
19061,1870,0.2349063
19063,1870,0.0058069
19065,1870,0.1132871
19067,1870,0.0580347
19069,1870,0.0175315
19071,1870,0.0903362
19073,1870,0.0309228
19075,1870,0.0081884
19077,1870,0.0517611
19079,1870,0.022306
19081,1870,0.0057232
19083,1870,0.0505335
19085,1870,0.066457
19087,1870,0.1532223
19089,1870,0.0561598
19091,1870,0.0110241
19093,1870,0.0028617
19095,1870,0.0816782
19097,1870,0.257469
19099,1870,0.0591825
19101,1870,0.2005777
19103,1870,0.1319602
19105,1870,0.1511688
19107,1870,0.1208143
19109,1870,0.0065813
19111,1870,0.2376467
19113,1870,0.128985
19115,1870,0.1551823
19117,1870,0.0910538
19119,1870,0.0089281
19121,1870,0.1367608
19123,1870,0.1220879
19125,1870,0.1334406
19127,1870,0.0490377
19129,1870,0.0871842
19131,1870,0.0594072
19135,1870,0.1821672
19137,1870,0.0382215
19139,1870,0.1134592
19141,1870,0.0024796
19145,1870,0.0621648
19147,1870,0.0102359
19149,1870,0.0039576
19151,1870,0.004591
19153,1870,0.0934328
19155,1870,0.0400251
19157,1870,0.0436317
19159,1870,0.0680215
19161,1870,0.0103651
19163,1870,0.05422
19165,1870,0.0199353
19167,1870,0.0023084
19169,1870,0.0462473
19171,1870,0.0490761
19173,1870,0.0713816
19175,1870,0.0469062
19177,1870,0.2866321
19179,1870,0.177714
19181,1870,0.1026543
19183,1870,0.1191137
19185,1870,0.0837127
19187,1870,0.0382241
19189,1870,0.0214731
19191,1870,0.1400895
19195,1870,0.031265
19197,1870,0.0124151
20001,1870,0.0265906
20003,1870,0.0379897
20005,1870,0.1161313
20011,1870,0.0753758
20013,1870,0.0477795
20015,1870,0.017653
20017,1870,0.0228629
20027,1870,0.0131581
20029,1870,0.0138354
20031,1870,0.0328956
20037,1870,0.029471
20041,1870,0.0092832
20043,1870,0.1394729
20045,1870,0.103241
20053,1870,0.0005198
20059,1870,0.0806552
20061,1870,0.0363984
20073,1870,0.031521
20085,1870,0.054433
20087,1870,0.1419297
20089,1870,0.0174484
20091,1870,0.0847085
20099,1870,0.034611
20103,1870,0.1555694
20105,1870,0.0109373
20107,1870,0.0942201
20111,1870,0.0346979
20113,1870,0.0071087
20115,1870,0.0064878
20117,1870,0.027153
20121,1870,0.1034914
20123,1870,0.0116995
20127,1870,0.022905
20131,1870,0.0452758
20133,1870,0.0367263
20139,1870,0.0301519
20141,1870,0.0124189
20143,1870,0.0154841
20149,1870,0.0543487
20157,1870,0.0175365
20159,1870,0.0074182
20161,1870,0.0321924
20169,1870,0.0126036
20173,1870,0.0069345
20177,1870,0.0562089
20183,1870,0.0150146
20197,1870,0.0283016
20201,1870,0.0204172
20205,1870,0.0486404
20207,1870,0.0347845
20209,1870,0.2106539
27001,1870,0.0012863
27003,1870,0.119275
27005,1870,0.0432166
27009,1870,0.0959013
27011,1870,0.0008347
27013,1870,0.1029415
27015,1870,0.0281009
27019,1870,0.3471524
27023,1870,0.0064625
27025,1870,0.2298701
27027,1870,0.0114375
27033,1870,0.0051469
