FID_us1880	AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	FID_us1870	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	4114.430
1	1866.921	224.959	CLALLAM	Washington	53009	1685.3	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	1827.459
1	1866.921	224.959	CLALLAM	Washington	53009	1685.3	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	39.463
2	202.598	93.502	SAN JUAN	Washington	53055	179.0	2	203.316	93.389	SAN JUAN	Washington	53055	179.0	202.384
3	15406.814	711.067	STEVENS	Washington	53065	13908.1	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	15406.598
3	15406.814	711.067	STEVENS	Washington	53065	13908.1	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	0.216
4	188.267	114.595	ISLAND	Washington	53029	212.0	4	188.267	114.595	ISLAND	Washington	53029	212.0	188.267
5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	0.935
5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	2021.470
5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	11	993.570	200.424	MASON	Washington	53045	896.9	0.001
6	2336.777	225.965	SNOHOMISH	Washington	53061	2109.5	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	5.208
6	2336.777	225.965	SNOHOMISH	Washington	53061	2109.5	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	2331.569
7	5889.330	383.759	KOOTENAI	Idaho	16055	5316.4	7	14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	5889.329
8	399.121	147.656	KITSAP	Washington	53035	360.3	8	399.121	147.656	KITSAP	Washington	53035	360.3	399.121
9	2065.701	254.061	CHEHALIS	Washington	53081	1864.8	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	11.850
9	2065.701	254.061	CHEHALIS	Washington	53081	1864.8	9	2066.593	253.281	CHEHALIS	Washington	53081	1865.6	2042.554
9	2065.701	254.061	CHEHALIS	Washington	53081	1864.8	11	993.570	200.424	MASON	Washington	53045	896.9	0.178
9	2065.701	254.061	CHEHALIS	Washington	53081	1864.8	18	1113.426	211.434	PACIFIC	Washington	53049	1005.1	8.554
9	2065.701	254.061	CHEHALIS	Washington	53081	1864.8	20	2407.470	259.849	LEWIS	Washington	53041	2173.3	2.565
10	20947.977	771.113	MISSOULA	Montana	30063	18910.2	7	14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	0.000
10	20947.977	771.113	MISSOULA	Montana	30063	18910.2	10	20794.699	763.654	MISSOULA	Montana	30063	18771.8	20787.634
10	20947.977	771.113	MISSOULA	Montana	30063	18910.2	13	13379.131	810.640	DEER LODGE	Montana	30023	12077.6	8.236
