state,county,name,totpop,farms,farmsize,farm12,farm39,farm1019,farm2049,farm5099,farm100,farm175,farm260,farm500,farm1000,farmown,farmten,farmman,farmwh,farmwhow,farmwhpo,farmwhte,farmwhma,farmwhct,farmwhst,farmcol,farmcoow,farmcopo,farmcote,farmcoma,farmcoct,farmcost,farms2,farmsbui,acfarm,acimp,totval,farmval,farmbui,farmequi,livstock,farmout,farmlab,farmfert,area,farrepan,livstval,calves,steer1_2,steer2_3,steer3_,bulls,heifers,dcows,otcows,colts0,colts1_2,horses2_,mules0,mules1_2,mules2_,donkeys,lambs,ewes,ramsweth,swine,goats,animsold,animslau,inclrep,bcattle,bcalves,bster1_2,bster2_3,bsteer3_,bbulls,bheifers,bdcows,botcows,bhorses,bcolts0,bcolt1_2,bhorse2_,bmules,bmules0,bmule1_2,bmules2_,bdonkeys,bsheep,blambs,bewes,bramweth,bswine,bgoats,fardairy,dairyval,dairycon,milkprod,milksold,cream,butterpr,butterso,cheesepr,cheeseso,chickens,turkeys,geese,ducks,poultval,poult99,eggs,bees,beesval,honey,wax,woolfl,woolwt,mohairfl,mohairwt,barleyac,barley,buckwhac,buckwhea,cornac,corn,oatsac,oats,ryeac,rye,wheatac,wheat,riceac,rice,kacornac,kacorn,wgrassac,wgrass,milletac,millet,alfalfac,alfalfa,cloverac,clover,otgrasac,otgrass,hayac,hay,forageac,forage,cornstal,clovseed,otgrseed,potatoac,potatoes,swpotac,swpotato,onionac,onions,chicorac,chicory,misvegac,miscvegs,glasland,cottonac,cotbale1,cotbale2,balewt,ginbales,ginbalwt,scotac,scotbal1,scotbal2,scbalewt,sginbale,sginbawt,hempac,hempwt,hempval,flaxsdac,flaxseed,scaneac,scanewt,canesir,csugarwt,sorgcaac,sorgcawt,sorgsir,sbeetac,sbeetwt,mapsirup,mapsugar,tobacac,tobacco,beansac,beans,peasac,peas,peanutac,peanuts,miscac,miscval1,miscval2,bcornac,bromcorn,orchval,applet,apples,apricott,apricots,cherryt,cherries,peacht,peaches,peart,pears,plumt,plums,otfruitt,otfruits,cider,vinegar,dryfruit,grapeval,vines,grapes,wine,foresval,hopsac,hops,cbeanac,cbeans,cbeanval,mseedac,miscseed,pmintac,pmintoil,pmintval,willowac,willows,fruitval,bananat,bananas,citront,citrons,figtrees,figs,guavat,guavas,kakit,kaki,lemont,lemons,limet,limes,olivet,olives,oranget,oranges,pineappt,pineappl,pomelot,pomeloes,otfruit,oliveoil,sfruival,blackbac,blackber,curranac,currants,goosebac,gooseber,raspbac,raspber,strawbac,strawber,otsmfrac,otsmfru,cranbac,craber,nutval,almondt,almonds,coconutt,coconuts,pecant,pecans,walnutt,walnuts,otnutt,otnuts,flowplac,flowpval,flowglas,nursryac,nursrval,irrigats,irrac,irrfarms,irrimpac,irrcanac,irrcanal,irrcanmi,irrcanco,irrditac,irrstrac,irrwells,irrwelac,irrwelco,irrcost,tfarmhom,fhowfree,fhencumb,fhmtgunk,fhrent,fhunk,level,region1,region2,fips
1,10,FAIRFIELD,184203,4727,59.299999,83,487,664,1417,1173,658,168,71,5,1,4012,576,139,4712,3753,201,46,138,471,103,15,11,1,0,1,2,0,4727,4645,280106,162061,25502288,13264060,9571680,903450,1763097,3627273,759360,101080,641,4295,1621284,5912,428,384,1075,615,3662,17652,1079,112,224,8905,6,8,28,7,717,912,70,7874,38,179549,146175,4982,1996,157,10,19,31,3,126,1544,106,9925,10,22,9893,19,0,1,18,13,7,3,4,0,899,95,3661,1236341,156988,9650467,6569544,36624,610184,371485,1193,879,196842,1860,580,4126,124880,214249,1418850,2643,10216,30810,1120,992,5100,6,30,20,560,391,6260,8266,340230,2146,69820,2340,48650,173,4140,0,0,0,0,1460,1511,60,98,0,0,264,297,66692,64755,953,1439,1053,3134,59,13,256,5352,625197,0,0,810,294152,0,0,1830,177817,612600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,584640,4,110,4,102,0,0,0,0,146,0,0,247952,240810,974268,23,3,4534,3266,60703,6007,12046,9081,8587,1956,1118,1367,13747,878,450,11192,25282,506500,8112,151246,0,0,0,0,0,26,3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50530,28,60510,32,43560,2,2630,64,110600,177,482840,1,1030,5,170,3533,0,0,0,0,0,0,0,0,4657,4441,231,156340,683468,932,42937,,,,,,,,,,,,,,,4646,2328,1630,62,609,17,1,1,1,9001
1,30,HARTFORD,195480,5110,68.300003,97,559,663,1363,1260,770,251,118,22,7,4357,669,84,5093,3901,343,99,83,476,191,17,13,0,1,1,2,0,5110,5015,348806,198562,24990812,11271468,10622840,1102530,1993974,6030460,1023350,528970,677,4681,1895096,5093,236,316,524,739,4778,22425,931,52,432,9748,5,6,24,3,818,1430,292,8188,25,150640,120395,3392,1240,81,11,99,10,1,101,890,47,7551,9,31,7511,5,0,0,5,2,16,1,15,0,649,46,3917,1361503,99985,13528646,5504606,749161,589404,410477,2040,653,179857,321,293,1869,105507,150329,1314870,848,3036,14220,750,1745,9295,0,0,2,60,348,6020,10193,388980,544,19910,1740,30540,19,570,0,0,0,0,334,369,127,214,0,0,111,156,66550,80505,1661,3413,1983,10270,1231,0,0,5172,713304,1,110,137,48182,0,0,2145,215820,415330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,960,8007,13577860,8,93,10,183,0,0,0,0,672,0,0,195121,171842,606133,33,5,3778,2064,179469,15622,16872,7510,12319,1831,1257,1148,7494,607,0,12266,25846,557300,4780,204150,0,0,0,0,0,165,12238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54733,33,55760,51,71040,,370,68,106510,181,387360,1,410,24,529,2050,0,0,0,0,0,0,0,0,1780,1693,203,85370,493413,429,38963,,,,,,,,,,,,,,,5066,2207,2058,124,633,44,1,1,1,9003
1,50,LITCHFIELD,63672,4164,113.1,37,220,259,685,1050,1120,454,289,46,4,3448,596,120,4148,3193,189,55,120,385,206,16,10,1,0,0,3,2,4164,4086,471151,230287,16165935,7115230,6241690,677690,2131325,3397429,644940,62280,931,3898,2035919,9228,549,715,1261,1291,6147,29071,1885,62,238,8426,1,2,36,3,2618,3774,203,8301,36,297481,182655,2305,777,66,17,32,22,1,42,569,28,3748,6,3,3739,7,0,0,7,0,7,6,1,0,647,12,3465,1373957,199159,15092736,7137500,369823,1072265,815623,7385,5343,143439,1320,159,1415,87050,130836,1106000,2257,8255,21300,620,4002,18908,8,30,41,987,856,15480,8545,368950,4576,147480,1900,40560,79,1590,0,0,0,0,1713,1775,183,260,0,0,162,216,97299,93414,1400,2450,3187,11229,2450,0,0,4048,507993,0,0,27,8504,0,0,934,90470,35320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,717,2400,1138,1817260,3,41,3,29,0,0,0,0,517,0,0,142287,192556,545047,611,37,3358,1855,16325,494,8938,4962,4236,556,471,542,8304,534,10,3739,15502,131900,2309,226320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21299,17,27630,10,11590,,100,30,43630,54,105640,5,7390,6,90,3932,0,0,0,0,0,0,0,0,4430,3594,19,14445,35356,7,1850,,,,,,,,,,,,,,,4060,1943,1434,26,635,22,1,1,1,9005
1,70,MIDDLESEX,41760,1788,84.199997,17,129,168,424,526,340,115,52,15,2,1619,115,54,1784,1552,49,15,53,98,17,4,3,0,0,1,0,0,1788,1766,150605,51491,6002437,2699550,2386160,287210,629517,1171168,220300,53680,373,1633,590854,2512,490,384,1192,208,1416,6069,621,18,46,2822,0,0,7,2,1075,1292,355,3030,4,78131,59410,1490,1247,119,38,16,65,5,75,887,42,1993,1,9,1983,3,0,0,3,2,5,3,2,0,546,4,1490,335297,77325,3497408,947383,68932,530145,370195,928,656,68611,275,214,616,37962,55723,505600,741,1807,7400,140,1697,7268,0,0,4,80,169,2767,2377,103590,236,7810,735,13350,37,870,0,0,0,0,1370,1641,43,73,0,0,9,10,26704,28893,306,730,470,4034,65,0,0,1514,213018,1,20,27,9717,0,0,630,57929,512490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,333050,5,94,1,12,0,0,0,0,80,0,0,41474,94870,298883,15,10,1191,501,51610,4092,6929,3935,9349,2205,100,58,4278,437,0,1101,4306,35600,984,79627,0,0,0,0,0,9,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15970,14,16060,29,42010,2,2800,22,33900,53,299930,,100,75,1085,433,0,0,0,0,0,0,0,0,544,382,61,98134,502393,66,3455,,,,,,,,,,,,,,,1772,1047,581,15,116,13,1,1,1,9007
1,90,NEW HAVEN,269163,3472,75,49,275,400,879,916,652,207,80,13,1,2973,381,118,3454,2779,130,56,115,327,47,18,8,0,0,3,5,2,3472,3416,260305,126446,15874024,7733910,6018350,713280,1408484,3017889,624580,155260,612,3164,1301245,3635,300,225,727,537,2360,15151,933,79,181,7044,3,8,54,3,870,1396,531,7084,23,136973,80458,4496,1061,59,7,1,20,1,45,912,16,10639,11,30,10598,7,0,0,7,1,40,17,22,1,1385,70,2648,1024353,55605,8461739,6433715,6297,470534,423430,1464,1295,161647,380,731,3186,99563,149372,1180010,1385,5117,12540,460,1977,8705,2,15,14,340,332,6780,5302,220990,440,13200,2137,44250,69,1270,0,0,0,0,3135,3774,191,322,17,28,179,208,49375,50346,1246,2154,1962,9773,802,0,0,4473,545476,0,0,119,34629,0,0,2765,260501,339240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,400,18,18410,21,185,7,80,0,0,0,0,398,0,0,208968,177442,771471,44,4,3487,2804,85683,24319,14403,7372,9354,2307,1324,1616,11478,949,50,9538,33913,362500,8197,189923,0,0,0,0,0,510,26783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85867,73,95300,37,51620,2,1370,145,151200,344,881800,6,4220,10,127,4472,0,0,0,0,0,0,0,0,6152,4022,145,88041,363281,857,37235,,,,,,,,,,,,,,,3436,1768,1207,23,413,25,1,1,1,9009
1,110,NEW LONDON,82758,3014,107.7,36,155,221,528,739,817,307,164,42,5,2353,597,64,2996,2190,119,29,64,528,66,18,15,0,0,0,2,1,3014,2960,324706,127331,10436511,4652210,4058190,473170,1252941,2092913,360850,82680,681,2828,1159502,4479,709,700,1325,728,3273,14891,1068,52,178,5358,4,0,41,0,4834,6963,634,4994,160,140080,106960,2050,924,92,13,0,14,5,61,705,34,3751,7,6,3738,1,0,0,1,0,74,28,46,0,413,6,2550,767628,117841,7465415,2935183,254134,564782,404653,4484,4563,143609,3186,1078,1846,89628,142038,998220,1834,6283,21440,560,7697,30710,156,330,17,395,471,8710,5225,214950,715,20270,430,8320,8,110,0,0,0,0,1509,1428,250,376,25,12,188,262,53867,47111,1965,2990,2121,7318,794,5,0,2573,337379,0,0,41,14104,0,0,1387,119785,124550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,500,3,4000,80,1442,2,27,0,0,0,0,390,0,0,90020,123540,251715,16,2,1246,1011,61645,10719,8883,4626,3851,416,48,26,4702,687,100,1549,3147,49700,1436,161803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27627,5,12400,4,9290,,90,23,34870,86,227550,1,580,65,2394,906,0,0,0,0,0,0,0,0,2021,1027,70,32338,98720,68,8250,,,,,,,,,,,,,,,2998,1575,750,27,630,16,1,1,1,9011
1,130,TOLLAND,24523,2120,97,22,89,152,419,647,508,171,97,13,2,1853,211,56,2108,1781,42,21,55,181,28,12,9,0,0,1,2,0,2120,2109,205693,65608,5946266,2379380,2499930,333190,733766,1229063,187400,49380,415,1920,686486,3065,327,297,579,356,2109,8774,636,20,62,3592,1,0,26,2,1097,1708,162,2816,10,75684,59715,588,292,15,10,0,8,2,18,238,1,929,0,1,928,2,0,0,2,0,0,0,0,0,176,3,1722,423911,93985,5127972,1326194,299131,293622,250884,3565,2734,78518,198,164,474,43952,62390,681090,745,2260,6950,200,1925,8310,11,60,14,318,325,6275,3344,113940,334,8310,448,8450,4,50,0,0,0,0,387,359,88,154,111,164,0,0,31969,32534,1107,2339,1247,6390,500,0,0,1738,242507,0,0,17,4974,0,0,615,40223,26200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,326,595510,10,231,1,10,0,0,0,0,710,0,0,40082,69334,139812,13,0,1393,506,31642,215,4422,1467,2500,172,4,1,2362,363,10,2108,7735,107300,771,119843,0,0,0,0,0,,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8803,2,2040,7,8080,,80,7,12220,29,69390,2,1270,36,1755,1624,0,0,0,0,0,0,0,0,1707,1470,7,3110,24266,8,225,,,,,,,,,,,,,,,2054,1024,763,17,241,9,1,1,1,9013
1,150,WINDHAM,46861,2553,106,36,136,172,503,632,629,272,138,31,4,2090,322,141,2544,1999,57,27,141,279,41,9,7,0,0,0,2,0,2553,2510,270711,102739,8387308,3325700,3584720,457780,1019108,1532753,282640,44910,515,2294,957248,3376,317,233,536,551,2731,12401,841,34,119,4772,0,3,15,4,1937,3180,119,4160,17,110697,89355,1110,437,30,1,0,24,1,19,342,20,2123,2,2,2119,3,0,0,3,0,0,0,0,0,175,1,2044,567198,80534,6127479,3025341,109153,460853,406472,19564,16763,100503,177,311,568,55508,79270,754790,985,3554,8300,240,3289,16142,0,0,25,660,531,10670,4662,179880,892,29580,552,9280,4,60,0,0,0,0,2801,2450,204,354,0,0,118,150,46626,43461,2351,3860,1422,6133,1955,0,40,2278,308660,0,0,28,8329,0,0,837,73542,54830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,82,550,0,40,210,4232,1,19,0,0,0,0,1102,0,0,45455,96918,121602,61,3,1403,264,35649,307,6750,2532,3157,290,454,88,3,1,0,1619,5749,72100,0,142808,0,0,0,0,0,2,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13544,5,5610,5,8800,1,570,7,10280,47,114610,,390,54,771,482,0,0,0,0,0,0,0,0,500,482,14,9560,40400,55,9440,,,,,,,,,,,,,,,2464,1358,675,27,379,25,1,1,1,9015
1,0,CONNECTICUT,908420,26948,85.800003,377,2050,2699,6218,6943,5494,1945,1009,187,26,22705,3467,776,26839,21148,1130,348,769,2745,699,109,76,2,1,7,18,5,26948,26507,2312083,1064525,113305584,52441508,44983560,4948300,10932212,22098948,4103420,1078240,4845,24713,10247634,37300,3356,3254,7219,5025,26476,126434,7994,429,1480,50667,20,27,231,24,13966,20655,2366,46447,313,1169235,845123,20413,7974,619,107,167,194,19,487,6087,294,40659,46,104,40509,47,0,1,46,18,149,58,90,1,4890,237,21497,7090188,881422,68951862,33879466,1893255,4591789,3453219,40623,32886,1073026,7717,3530,14100,644050,984207,7959430,11438,40528,122960,4090,23324,104438,183,465,137,3400,3423,62962,47914,1931510,9883,316380,10282,203400,393,8660,0,0,0,0,12709,13307,1146,1851,153,204,1031,1299,439082,441019,10989,19375,13445,58281,7856,18,296,27148,3493534,2,130,1206,422591,0,0,11143,1036087,2120560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,948,4930,10119,16930770,341,6428,29,462,0,0,0,0,4015,0,0,1011359,1167312,3708931,816,64,20390,12271,522726,61775,79243,41485,53353,9733,4776,4846,52368,4456,620,43112,121480,1822900,26589,1275720,0,0,0,0,0,712,44181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278373,177,275310,175,245990,7,8010,366,503210,971,2569120,16,15390,275,6921,17432,0,0,0,0,0,0,0,0,21791,17111,750,487338,2241297,2422,142355,56,471,,,,,,,,,,,,16113,26496,13250,9098,321,3656,171,2,1,1,9000
2,10,ANDROSCOGGIN,54242,2924,88,20,147,213,505,955,795,206,69,13,1,2725,150,49,2923,2603,33,88,49,117,33,1,1,0,0,0,0,0,2924,2900,257400,125701,7319877,2897270,3045050,470650,906907,1574083,170710,46840,480,2695,867566,3254,341,229,297,443,2884,12413,648,88,109,5209,1,0,12,0,2265,3468,190,5670,8,134313,75348,1659,543,42,0,1,3,1,62,433,1,2637,11,12,2614,0,0,0,0,0,43,3,39,1,494,1,2425,656452,126242,7839200,1199226,513651,898872,695665,99173,93924,72544,62,101,250,37980,40880,520000,289,1361,3720,340,3763,22590,0,0,132,3910,17,330,1046,42520,1670,53170,24,390,7,140,0,0,0,0,581,418,745,1338,2,3,87,144,61800,53261,1292,2042,1305,6573,492,0,0,1724,203470,0,0,9,2188,0,0,1797,104109,68510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,526,6258,19,318,0,0,0,0,0,0,0,66183,395365,118668,2,0,700,55,499,160,4192,1351,830,24,1,0,784,54,180,524,1989,17800,0,149644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11121,5,6950,1,1770,,240,12,22100,31,73570,2,1260,2,140,0,0,0,0,0,0,0,0,0,0,0,17,17982,57125,104,10500,,,,,,,,,,,,,,,2822,2004,608,20,176,14,1,1,1,23001
