NAME,UNFIPS,GP,BAR_XH_B,BWT_XH_B,FLX_XH_P,FLX_XH_B,COT_XH_C,PAB_XH_B,FML_XX_A,IML_XX_A,UNL_XX_A,WOD_XX_A,UNL_XO_A,ARE_XX_A,FRM_XX_Q,PRP_XX_V,IMP_XX_V,AFP_XX_V,FRU_XX_V,GDN_XX_V,FST_XX_V,STK_XR_V,STK_XX_V
ARAPAHOE,08005,1,9659,Result of merge,0,0,0,1985,20658,6738,13920,321,13599,3110727,124,387600,28240,268650,0,23535,0,3875,127150
BENT,08011,1,0,Result of merge,0,0,0,0,8055,985,7070,0,7070,3737354,48,56090,3788,102332,0,0,0,0,195158
BOULDER,08013,1,3609,Result of merge,0,0,0,100,42673,14365,28308,0,28308,471198,232,575650,36267,326313,0,0,0,11734,281125
CLEAR CREEK,08019,1,0,Result of merge,0,0,0,0,0,0,0,0,0,266268,0,0,0,0,0,0,0,0,0
CONEJOS,08021,0,0,Result of merge,0,0,0,619,23809,5218,18591,0,18591,4236113,189,125032,17780,96471,9,0,0,15383,230207
COSTILLA,08023,0,30,Result of merge,0,0,0,339,21605,5583,16022,0,16022,1377165,157,90819,13747,69548,0,0,0,15243,148537
DOUGLAS,08035,1,4436,Result of merge,0,0,0,16,15378,7899,7479,1067,6412,3279240,117,137780,20007,166591,0,0,0,13801,323903
EL PASO,08041,1,1135,Result of merge,0,0,0,0,15499,4457,11042,545,10497,1699315,65,147380,11135,69795,0,0,0,9125,125935
FREMONT,08043,1,0,Result of merge,0,0,0,10,7750,2632,5118,193,4925,1525912,44,79050,6215,48160,0,0,0,9730,71104
GILPIN,08047,1,0,Result of merge,0,0,0,0,4560,1194,3366,1350,2016,92273,12,99200,3805,37975,0,2000,0,804,10150
HUERFANO,08055,1,283,Result of merge,0,0,0,0,9636,2693,6943,0,6943,1029860,80,197385,4783,91422,0,0,0,0,173604
JEFFERSON,08059,1,9060,Result of merge,0,0,0,599,22932,7166,15766,290,15476,502089,142,342675,27680,263725,0,28685,0,12605,147295
LAKE,08065,0,450,Result of merge,0,0,0,150,4965,978,3987,695,3292,12269473,31,19375,5250,35495,0,500,0,4285,47673
LARIMER,08069,1,3363,Result of merge,0,0,0,153,19184,5135,14049,0,14049,1668756,121,226970,17475,176649,0,300,0,4791,240430
LAS ANIMAS,08071,1,0,Result of merge,0,0,0,0,4123,1130,2993,0,2993,4696989,80,24662,3040,39183,0,0,0,0,31801
PARK,08093,1,1675,Result of merge,0,0,0,30,3390,623,2767,1455,1312,1428877,17,16740,3147,28906,0,0,0,4665,45025
PUEBLO,08101,1,420,Result of merge,0,0,0,3353,63528,17087,46441,5588,40853,1552216,120,531140,39450,307165,0,0,0,129096,304642
SAGUACHE,08109,0,50,Result of merge,0,0,0,146,9190,1996,7194,0,7194,1314533,54,49620,10710,60055,0,0,0,11447,116587
SUMMIT,08117,0,0,Result of merge,0,0,0,0,0,0,0,0,0,12393099,Not available,0,0,0,0,0,0,0,0
WELD,08123,1,971,Result of merge,0,0,0,0,23411,9715,13696,0,13696,6729398,105,278580,20085,146671,0,0,0,5810,250776
,08127,1,Result of merge,Result of merge,Result of merge,Result of merge,Result of merge,Result of merge,Sum of missing values,Result of merge,Result of merge,Result of merge,Result of merge,3424448,Result of merge,Result of merge,Result of merge,Result of merge,Result of merge,Result of merge,Result of merge,Result of merge,Result of merge
ADAIR,19001,0,437,233,0,0,Not published for this unit,69,89812,35329,54483,8529,45954,364131,636,1527586,91677,221892,550,0,0,16968,366091
ADAMS,19003,0,900,132,0,0,Not published for this unit,394,67091,27270,39821,10392,29429,265146,526,1385963,67977,358207,287,62,4461,51849,352304
ALLAMAKEE,19005,0,25474,2495,0,82,Not published for this unit,549,257470,112149,145321,61107,84214,423737,1783,4301936,292612,1752249,5359,706,41590,354537,1005201
APPANOOSE,19007,0,1109,1918,90,6229,Not published for this unit,1023,288070,135402,152668,63340,89328,323815,2121,5631209,251258,1672620,26029,215,83566,479469,1255375
AUDUBON,19009,0,95,0,0,0,Not published for this unit,157,23400,9872,13528,4132,9396,286728,143,473407,26432,194558,55,2405,1825,36720,147366
BENTON,19011,0,68103,2760,0,3013,Not published for this unit,187,325704,254856,70848,23558,47290,451192,2536,8716034,571842,2155748,12545,2490,3861,420464,1731218
BLACK HAWK,19013,0,11310,3746,0,0,Not published for this unit,644,272459,223426,49033,19875,29158,362331,2119,8100998,546065,2180803,9958,3978,16710,250271,1434060
BOONE,19015,0,7373,912,30,0,Not published for this unit,583,161259,113243,48016,22067,25949,368284,1277,3438031,207166,952896,3328,2173,14974,168169,883027
BREMER,19017,0,15493,1815,0,79,Not published for this unit,908,191219,139519,51700,24899,26801,280712,1487,4486291,286772,1162744,1536,6555,110315,183712,878483
BUCHANAN,19019,0,16385,1041,0,0,Not published for this unit,317,244622,177781,66841,33553,33288,371448,1762,6021232,396855,1597375,4622,10540,14903,242607,1161162
BUENA VIST,19021,0,215,207,0,0,Not published for this unit,60,27172,5546,21626,799,20827,381082,222,272924,22638,92525,0,0,420,5315,91824
BUTLER,19023,0,5423,1809,0,0,Not published for this unit,659,153248,90788,62460,12228,50232,371101,1053,3294701,227890,1061249,926,405,25009,158798,668304
CALHOUN,19025,0,640,0,0,0,Not published for this unit,0,19137,6475,12662,765,11897,364368,167,215000,15980,62840,0,0,0,4115,66325
CARROLL,19027,0,0,6,0,0,Not published for this unit,0,50520,13894,36626,2680,33946,366997,272,456044,17361,100400,0,0,0,13105,139829
CASS,19029,0,532,30,0,0,Not published for this unit,27,37677,16141,21536,4442,17094,358997,174,820231,46866,261739,0,0,0,76318,259660
CEDAR,19031,0,141182,2120,175,20916,Not published for this unit,21,290810,254219,36591,23706,12885,383272,2299,10473122,462535,2754614,13221,135,1969,718352,1988500
CERRO GORD,19033,0,2944,309,0,0,Not published for this unit,312,67009,26724,40285,5872,34413,371701,484,1269175,76760,308679,0,700,0,30983,284471
CHEROKEE,19035,0,0,133,0,0,Not published for this unit,60,36691,9739,26952,1377,25575,366061,304,401025,36450,182680,0,0,0,20139,143716
CHICKASAW,19037,0,22762,3255,0,0,Not published for this unit,1112,166830,66925,99905,22125,77780,330368,1252,3542015,245274,1072554,912,1739,31597,178110,705017
CLARKE,19039,0,1102,413,0,137,Not published for this unit,6,131310,63162,68148,24251,43897,273763,1047,2214809,143436,717255,10333,440,0,192129,667935
CLAY,19041,0,15,46,0,0,Not published for this unit,357,27973,4993,22980,1368,21612,368070,207,173215,18002,77163,0,0,1084,4117,96469
CLAYTON,19043,0,57254,3179,0,0,Not published for this unit,774,366451,196775,169676,117213,52463,513003,2387,9267968,492989,2949917,17291,1741,49450,602475,1786393
CLINTON,19045,0,199072,2271,327,16170,Not published for this unit,633,396406,323182,73224,30710,42514,426571,3013,12964845,658944,3909589,14639,3370,2584,1075150,2530023
CRAWFORD,19047,0,455,272,0,0,Not published for this unit,79,46953,20011,26942,5010,21932,443685,242,986740,49336,236555,0,290,2643,38089,205379
DALLAS,19049,0,1805,245,20,405,Not published for this unit,659,147118,78858,68260,23855,44405,377378,1106,3579844,175038,953829,7881,150,6228,218347,849113
DAVIS,19051,0,430,1397,20,421,Not published for this unit,2234,269165,145665,123500,99625,23875,314685,2039,5690432,271993,1622328,23482,0,0,459389,1354714
DECATUR,19053,0,216,603,0,99,Not published for this unit,409,154997,65659,89338,45620,43718,317308,1065,2609576,136357,1352239,15056,655,969,248803,698018
DELAWARE,19055,0,49515,3641,11,0,Not published for this unit,762,287409,222307,65102,44163,20939,365021,2149,8200888,399686,2452654,11557,1199,40203,510245,1611499
DES MOINES,19057,0,7647,1005,4835,660,Not published for this unit,220,222809,147210,75599,65991,9608,264962,2006,8709607,272510,1758025,55831,9783,44230,545287,1447455
DICKINSON,19059,0,1760,42,0,0,Not published for this unit,89,30851,5473,25378,1845,23533,253810,182,225950,25503,94740,0,0,0,4270,81470
DUBUQUE,19061,0,75739,1549,0,0,Not published for this unit,625,317766,181049,136717,81185,55532,384000,2281,9141827,455110,2949075,17873,11410,60548,724245,1668855
EMMET,19063,0,1899,36,0,0,Not published for this unit,334,35872,6526,29346,1976,27370,250735,229,395975,21713,99890,20,0,0,13286,109840
FAYETTE,19065,0,29553,1753,0,186,Not published for this unit,374,221698,124647,97051,47875,49176,476003,1618,4599802,263912,1363841,1930,1205,0,294724,843586
FLOYD,19067,0,8373,716,0,0,Not published for this unit,725,166009,79706,86303,20238,66065,331784,1231,3807985,243370,1609631,467,165,33159,118126,682668
FRANKLIN,19069,0,3366,240,0,0,Not published for this unit,449,101584,51207,50377,7621,42756,375325,733,1906673,115052,521748,46,1817,4880,87482,399087
FREMONT,19071,0,4475,392,0,0,Not published for this unit,300,164994,98343,66651,23368,43283,312979,1373,4769850,241680,2110845,6270,1650,0,346802,1198230
GREENE,19073,0,3062,429,16,0,Not published for this unit,72,72161,33759,38402,10708,27694,365070,527,1285286,108952,394810,22,0,120,60527,305993
GRUNDY,19075,0,13360,813,0,0,Not published for this unit,383,175698,108483,67215,2718,64497,323629,1167,3459275,279240,841088,50,0,0,76194,618543
GUTHRIE,19077,0,1861,50,0,0,Not published for this unit,84,105658,46778,58880,15128,43752,385405,678,1872900,75005,424693,5696,0,0,113895,423005
HAMILTON,19079,0,3279,809,0,0,Not published for this unit,82,83851,36946,46905,10376,36529,366718,708,1640590,79435,425025,625,700,5156,53831,364430
HANCOCK,19081,0,430,90,0,0,Not published for this unit,89,19053,6024,13029,2173,10856,361338,143,286190,22855,68700,0,0,0,7101,70369
HARDIN,19083,0,5510,136,62,75,Not published for this unit,26,177894,97890,80004,20530,59474,376166,1310,4757912,210624,998258,3486,515,7273,183065,898996
HARRISON,19085,0,1285,482,20,0,Not published for this unit,147,156335,54150,102185,29930,72255,448425,931,3011350,182613,932698,200,50,61,194464,758476
HENRY,19087,0,4194,1706,0,1503,Not published for this unit,69,250364,176285,74079,57191,16888,279287,2451,8243369,332309,2174772,29127,2473,21137,539921,1516670
HOWARD,19089,0,13357,547,0,0,Not published for this unit,428,102573,44235,58338,13142,45196,301194,679,2109075,180444,615810,303,67,27,73767,445276
HUMBOLDT,19091,0,1659,189,0,0,Not published for this unit,174,51206,14453,36753,2476,34277,290907,406,780093,47497,242424,200,40,0,23294,170568
IDA,19093,0,35,76,0,0,Not published for this unit,8,8736,2011,6725,591,6134,272214,42,75460,7290,31383,0,0,0,2446,34807
IOWA,19095,0,21741,3434,118,2179,Not published for this unit,366,232930,139753,93177,29081,64096,369095,1670,5422071,342393,1526481,9986,297,5555,427300,1222559
JACKSON,19097,0,21518,7714,0,0,Not published for this unit,989,322536,176683,145853,80285,65568,400992,2283,8021360,449773,3017572,21589,28,8499,731207,1872904
