NAME,UNFIPS,GP,BAR_XH_A,BAR_XH_B,BWT_XH_A,BWT_XH_B,OAT_XH_A,OAT_XH_B,RYE_XH_A,RYE_XH_B,WHT_XH_A,WHT_XH_B,FLX_XH_B,HAY_XH_A,HAY_XH_T,CRN_GH_A,CRN_GH_B,COT_XH_A,COT_XH_C,SRG_MH_G,SRG_MH_P,POT_XH_B,BCN_XH_P,PEA_XH_B,BEA_XH_B,FRM_XX_Q,FRM_SA_Q,FRM_SB_Q,FRM_SC_Q,FRM_SD_Q,FRM_SE_Q,FRM_UH_Q,FRM_SI_Q,FRM_SL_Q,SIZ_AX_A,FRM_OF_Q,FRM_TC_Q,FRM_TQ_Q,FML_XX_A,IML_XX_A,CRP_XX_A,PST_XV_A,UNL_XX_A,WOD_XX_A,UNL_XO_A,ARE_XX_A,PRP_XX_V,IMP_XX_V,FEN_XX_V,FRT_XX_V,POL_CX_Q,POL_DX_Q,POL_XX_Q,EGG_XX_D,HON_XX_P,WOL_XX_F,WOL_XX_P,HRS_XX_Q,MUL_XG_Q,CTL_OX_Q,CTL_MX_Q,CTL_GX_Q,CTL_XX_Q,SHP_XX_Q,SWN_XX_Q,MLK_TX_G,BUT_XX_P,CHS_XX_P,GDN_TX_V,STK_XX_V,AFP_XX_V
ARAPAHOE,08005,1,884,21578,0,0,997,36618,88,881,2684,70231,Not published for this unit,8085,5194,909,16835,0,0,0,0,2315,0,0,Not published for this unit,368,0,9,23,28,59,223,19,7,199,301,44,23,73086,23299,10945,12354,49787,1006,48781,3110727,3389253,79950,46341,780,9395,1189,10584,60045,3095,84854,423030,4334,133,29,3312,55840,59181,84854,594,309595,88735,0,53210,1072181,775751
BENT,08011,1,15,290,0,0,178,4545,0,0,65,543,Not published for this unit,2122,2278,120,2105,0,0,0,0,0,0,0,Not published for this unit,40,0,0,0,1,1,24,9,5,773,38,2,0,30921,13340,3320,10020,17581,2449,15132,4262280,217980,8760,10935,0,1245,412,1657,2807,0,61800,300488,957,39,0,223,15216,15439,61800,77,0,450,0,525,255795,105621
BOULDER,08013,1,586,15783,0,0,3640,112095,253,4276,16879,422056,Not published for this unit,9599,8517,4262,72132,0,0,1732,0,3327,3000,0,Not published for this unit,414,0,1,9,25,60,289,25,5,246,337,7,70,101848,82990,53257,29733,18858,191,18667,471198,1490550,75429,22439,760,17961,7090,25051,60017,545,0,0,2937,236,18,2253,6016,8287,0,890,5735,89813,0,17621,328575,681769
CHAFFEE,08015,0,0,0,0,0,502,15707,0,0,71,1625,Not published for this unit,528,1091,0,0,0,0,0,0,11459,0,0,Not published for this unit,31,0,0,0,0,3,28,0,0,172,26,0,5,5345,2788,1866,922,2557,200,2357,657810,89350,4425,6300,0,563,0,563,1633,0,0,0,226,5,0,86,1567,1653,0,35,0,0,0,0,56550,46805
CLEAR CREEK,08019,1,0,0,0,0,58,1260,0,0,0,0,Not published for this unit,278,244,0,0,0,0,0,0,11625,0,0,Not published for this unit,26,0,1,2,5,1,15,2,0,180,22,2,2,4680,1589,1494,95,3091,3091,0,266268,65825,400,750,0,645,34,679,1512,0,0,0,109,11,5,126,313,444,0,84,0,6005,0,0,9475,24624
CONEJOS,08021,0,14,470,0,0,145,2800,0,0,93,1607,Not published for this unit,702,531,5,46,0,0,0,0,1177,0,0,Not published for this unit,46,0,0,2,3,3,37,0,1,210,44,1,1,9645,6279,865,5414,3366,190,3176,1705303,73800,10187,3464,0,395,111,506,3852,0,25325,63274,449,67,95,302,2773,3170,25325,54,0,3295,190,0,63095,35707
COSTILLA,08023,0,0,0,0,0,95,2369,0,0,140,4018,Not published for this unit,2386,1465,79,1346,0,0,0,0,1312,0,0,Not published for this unit,73,0,4,1,5,7,50,5,1,213,66,2,5,15585,11173,6280,4893,4412,300,4112,1185290,41118,7357,3097,0,799,102,901,1155,0,22676,91805,487,65,137,252,5146,5535,22676,69,0,2634,12,0,86806,21020
CUSTER,08027,1,138,3893,0,0,767,21708,13,373,41,958,Not published for this unit,278,3720,0,0,0,0,0,0,39051,0,0,Not published for this unit,152,0,0,0,0,6,140,4,2,221,145,2,5,33654,14098,3247,10851,19556,1099,18457,451358,396100,21025,20905,50,3613,43,3656,15291,0,148,214,724,73,34,574,6778,7386,148,160,8365,18265,0,0,116698,160071
DOUGLAS,08035,1,500,14914,0,0,1038,28434,567,7788,886,22651,Not published for this unit,3482,3522,578,12842,0,0,0,0,23109,0,0,Not published for this unit,245,0,0,0,5,13,189,24,14,337,198,14,33,82516,58295,6018,52277,24221,2678,21543,552530,696450,30310,8985,0,6462,130,6592,24505,110,1463,2966,2654,105,1,2180,13776,15957,1463,358,14855,71841,5000,840,351795,157399
ELBERT,08039,1,131,4466,0,0,356,12606,18,240,83,1861,Not published for this unit,3535,3096,177,4243,0,0,0,0,11626,0,20,Not published for this unit,155,0,0,1,2,4,126,17,5,357,148,4,3,55339,16266,1954,14312,39073,638,38435,5627808,226725,14529,11886,1550,4220,162,4382,19881,0,66893,344811,2299,42,0,1533,12275,13808,66893,135,0,29531,40,0,529524,125529
