NAME,UNFIPS,GP,CER_XH_A,BAR_XH_A,BAR_XH_B,BWT_XH_A,BWT_XH_B,OAT_XH_A,OAT_XH_B,RYE_XH_A,RYE_XH_B,WHT_XH_A,WHT_XH_B,FLX_XH_A,FLX_XH_B,HAY_XH_A,HAY_XH_T,CRN_GH_A,CRN_GH_B,COT_XH_A,COT_XH_C,SRG_MX_A,BEA_XH_B,PNT_XH_A,PNT_XH_B,POT_XH_A,POT_XH_B,POT_ZH_A,POT_ZH_B,FRM_XX_Q,FRM_SR_Q,FRM_SC_Q,FRM_SD_Q,FRM_SE_Q,FRM_UH_Q,FRM_SI_Q,FRM_SL_Q,SIZ_AX_A,FRM_OF_Q,FRM_TC_Q,FRM_TQ_Q,FML_XX_A,IML_XX_A,UNL_XX_A,FML_IX_A,FRM_IX_Q,ARE_XX_A,PRP_XX_V,IMP_XX_V,FRT_XX_V,CTL_XX_Q,CTL_MX_Q,CTL_XS_Q,MLK_XX_G,BUT_XX_P,CHS_XX_P,HRS_XX_Q,SWN_XX_Q,SHP_XX_Q,SHP_XS_Q,WOL_XX_F,WOL_XX_P,STK_XX_V,AFP_XX_V
ARAPAHOE,08005,1,33708,1286,37333,20,131,3389,100704,876,11352,4645,117685,261,1534,37462,78180,23492,246101,Not published for this unit,Not published for this unit,168,526,0,9,615,30716,2,147,1780,82,60,51,81,1418,54,34,246,1610,89,81,437433,145622,291811,35619,520,3118008,17650180,228930,2265,23675,6889,415,2470681,372417,8156,11163,13291,98372,981,19738,162137,1810660,1475620
ARCHULETA,08007,0,676,21,470,0,0,511,14717,15,286,119,1737,Not available,Not available,1394,1523,10,100,Not published for this unit,Not published for this unit,Not published for this unit,0,0,0,76,6387,0,0,59,0,0,1,0,58,0,0,166,55,3,1,9781,4305,5476,3084,45,825335,94700,10970,0,2080,443,76,51905,19945,0,404,125,1017,60,1009,2040,50920,32170
BACA,08009,1,1187,10,40,0,0,63,315,208,1580,162,675,Not available,Not available,9323,8539,744,4912,Not published for this unit,Not published for this unit,19,25,1,20,16,536,0,10,310,0,0,5,3,294,7,1,205,302,3,5,63401,16326,47075,60,2,1654302,121460,10670,0,3951,1111,45,258683,45290,0,733,663,1,40,1501,9004,102270,144570
BENT,08011,1,1983,328,4214,0,0,550,15149,2,40,78,1573,Not available,Not available,2872,6283,1025,15215,Not published for this unit,Not published for this unit,1,230,0,0,2,94,2,322,120,0,1,2,10,98,6,3,250,83,1,36,30058,12342,17716,4221,83,970289,383050,19020,0,2046,281,0,69505,7937,0,845,728,13217,200,6500,47200,88940,35070
BOULDER,08013,1,30543,1618,42201,0,0,4323,140011,47,814,20389,448894,Not available,Not available,21007,47312,4166,74326,Not published for this unit,Not published for this unit,Not published for this unit,0,0,0,77,4673,0,0,463,6,10,19,77,315,29,7,233,364,16,83,107857,93155,14702,70962,449,471198,3632890,121670,597,16029,3035,286,1053606,162158,100,5332,1926,147,0,86,462,647860,761650
CHAFFEE,08015,0,3956,30,677,1,10,3385,77561,12,195,524,12757,Not available,Not available,2407,3816,4,100,Not published for this unit,Not published for this unit,Not published for this unit,38,0,0,721,40602,0,0,151,2,2,5,16,123,3,0,192,126,10,15,28996,14503,14493,11994,148,673560,751960,30510,980,2656,551,64,147143,17553,0,712,1360,8,0,5,30,90590,182760
CHEYENNE,08017,1,640,0,0,0,0,7,80,2,40,16,110,Not available,Not available,868,940,615,3557,Not published for this unit,Not published for this unit,Not published for this unit,0,0,0,7,214,0,0,49,0,0,0,0,48,1,0,180,47,1,1,8829,2196,6633,0,0,1170987,74850,2930,0,1215,154,32,45785,6933,0,242,66,8511,230,6700,49100,46120,5940
CLEAR CREEK,08019,1,Sum with missing value(s),Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,21,17,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,0,0,0,7,200,0,0,13,0,1,3,2,5,1,1,454,13,0,0,5899,1002,4897,352,12,266268,50650,3620,0,375,100,7,26230,3312,0,86,0,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,12290,8510
CONEJOS,08021,0,10602,786,27659,0,0,5462,117623,3,66,4350,80704,Not available,Not available,10435,6398,1,6,Not published for this unit,Not published for this unit,Not published for this unit,32,0,0,303,33897,2,120,398,0,6,72,67,229,11,13,220,300,2,96,87589,56052,31537,46273,387,879978,1614670,84390,9,6030,1226,138,303061,66311,400,2296,950,24772,836,23656,63800,266460,261150
COSTILLA,08023,0,4770,137,2575,0,0,2234,40825,14,164,2215,36470,Not available,Not available,10283,8377,170,4200,Not published for this unit,Not published for this unit,Not published for this unit,510,0,0,182,11678,2,126,207,1,2,15,12,154,14,9,313,171,13,23,64749,25112,39637,25918,196,1179585,681420,37000,0,9407,1866,257,119399,26539,0,1910,431,402,20,400,800,314350,104490
