NAME,UNFIPS,GP,HAY_XH_T,HAY_XH_A,HAY_KT_A,HAY_KT_T,HAY_KV_A,HAY_KV_T,HAY_KL_A,HAY_KL_T,HAY_KR_A,HAY_KR_T,HAY_KW_T,HAY_KW_A,HAY_KY_T,HAY_KY_A,CRO_FP_T,CRO_FP_A,FLX_XH_A,FLX_XH_B,BAR_XH_A,BAR_XH_B,BWT_XH_B,BWT_XH_A,OAT_XH_B,OAT_XH_A,RYE_XH_A,RYE_XH_B,WHT_XH_A,WHT_XH_B,COT_XH_A,COT_XH_C,BEA_XH_A,BEA_XH_B,PEA_XH_B,PEA_XH_A,PNT_XH_B,PNT_XH_A,SRG_MH_A,BET_XH_T,BET_XH_A,VEG_XH_A,POT_XH_B,POT_XH_A,CRN_GH_B,CRN_GH_A,SRG_GH_A,SRG_GH_B,FRM_XX_Q,SIZ_AX_A,FRM_SA_Q,FRM_SB_Q,FRM_SC_Q,FRM_SD_Q,FRM_SE_Q,FRM_SF_Q,FRM_SG_Q,FRM_SH_Q,FRM_SI_Q,FRM_SL_Q,FRM_OX_Q,FRM_OP_Q,FRM_MX_Q,FRM_TC_Q,FRM_TT_Q,FRM_XW_Q,FRM_OW_Q,FRM_MW_Q,FRM_XN_Q,FRM_ON_Q,FRM_MN_Q,FRM_BX_Q,FML_XX_A,IML_XX_A,UNL_XX_A,ARE_XX_A,IMP_XX_V,LAB_XX_V,FRT_BX_V,CTL_XU_Q,CTL_SV_Q,CTL_ST_Q,CTL_SX_Q,CTL_BX_Q,CTL_HV_Q,CTL_MX_Q,CTL_LX_Q,CTL_XX_Q,HRS_XU_Q,HRS_XV_Q,HRS_XW_Q,HRS_XX_Q,MUL_XU_Q,MUL_XV_Q,MUL_XW_Q,MUL_XX_Q,SHP_XU_Q,SHP_EX_Q,SHP_RX_Q,SHP_XX_Q,SWN_XX_Q,CTL_XN_Q,HRS_XN_Q,SWN_XN_Q,MLK_XX_G,BUT_XX_P,CHS_XX_P,CHK_XX_Q,EGG_XX_D,WOL_XX_F,WOL_XX_P,FML_XX_V,BLD_XX_V,STK_XX_V,AFP_XQ_V
ARAPAHOE,08005,1,120686,52929,18218,15002,1263,1262,28628,96532,790,1792,4087,2604,2011,1426,3643,3326,Not available,Not available,1867,41700,0,0,206570,7628,275,3380,36149,418070,Not published for this unit,Not published for this unit,84,357,270,41,0,0,25,Not available,Not available,1922,10392,239,159750,21412,2,72,2105,430,123,243,170,140,155,543,103,338,159,131,995,358,94,424,213,2095,989,94,10,6,0,2029,904708,202047,702661,3096960,408490,444460,9970,16629,7432,5727,Result of merge,1648,7457,11622,Result of merge,Sum with missing value(s),1635,1780,13779,17194,82,61,395,538,42829,61897,31030,135756,10799,8946,8911,692,6435955,448143,26965,92697,616230,98718,739370,11904190,1858050,3126165,2677537
ARCHULETA,08007,0,9399,5532,1994,2201,0,0,1692,4358,0,0,1595,1028,1245,818,12,4,Not available,Not available,63,1650,0,0,36270,1154,0,0,790,14930,Not published for this unit,Not published for this unit,0,0,210,40,0,0,Not published for this unit,Not available,Not available,28,17592,115,60,3,Not available,Not available,215,192,25,2,0,6,9,132,8,28,4,1,161,5,19,11,18,215,161,19,0,0,0,190,41298,10372,30926,822400,23210,32370,0,2214,3180,721,Result of merge,233,1364,911,Result of merge,Sum with missing value(s),135,160,1112,1407,6,4,53,63,95109,117412,7959,220480,279,37,204,0,212660,37643,0,4249,20220,126625,506500,277460,71930,913011,319380
BACA,08009,1,4543,3556,3384,4115,6,5,56,123,0,0,0,0,300,110,41,53,Not available,Not available,0,0,0,0,0,0,0,0,0,0,Not published for this unit,Not published for this unit,2,10,0,0,0,0,Not published for this unit,Not available,Not available,8,0,0,3190,279,Not available,Not available,137,568,2,0,0,1,2,53,6,39,12,22,102,14,12,5,1,137,102,12,0,0,0,135,77751,7832,69919,1618560,20860,13100,0,3198,1924,920,Result of merge,340,1812,784,Result of merge,Sum with missing value(s),316,342,1907,2565,10,10,64,84,7623,12101,2540,22264,150,12,33,0,119496,18252,2912,2833,27380,14787,103509,127050,40860,549992,80807
BENT,08011,1,50177,23440,2545,2564,360,915,20465,46633,0,0,0,0,65,70,1266,456,Not available,Not available,84,1280,0,0,55040,1803,14,80,3955,63700,Not published for this unit,Not published for this unit,9,69,0,0,6,1,Not published for this unit,Not available,Not available,171,130,4,14640,1239,Not available,Not available,274,432,10,4,1,5,29,127,20,42,15,21,156,28,22,13,55,274,156,22,0,0,0,256,118485,38858,79627,991360,61160,94500,0,6682,3084,1804,Result of merge,492,2852,712,Result of merge,Sum with missing value(s),720,661,3490,4871,79,44,148,271,68135,81323,11835,161293,1691,172,280,30,287848,46480,333,13730,74480,94089,658630,1137100,131920,1295766,670541
BOULDER,08013,1,63235,30064,6800,7452,7,13,20663,52025,226,352,2404,1590,989,778,256,135,Not available,Not available,3126,61430,0,0,136950,4871,133,2450,24922,599650,Not published for this unit,Not published for this unit,16,76,15,1,0,0,2,Not available,Not available,1563,75848,1604,52390,3300,Not available,Not available,967,198,26,73,52,75,164,314,89,126,33,15,566,72,17,115,195,967,566,17,0,0,0,953,191373,91708,99665,471040,216340,126710,1470,4852,1441,731,Result of merge,395,2376,4660,Result of merge,Sum with missing value(s),414,525,5190,6129,19,26,214,259,430,891,6,1327,3091,1290,2105,53,2256592,323253,312,53194,365180,961,5490,4338615,892875,789626,920836
CHAFFEE,08015,0,11387,6331,1633,1657,0,0,4264,9082,43,77,392,268,179,123,224,182,Not available,Not available,135,2020,0,0,36920,1396,1,20,796,14490,Not published for this unit,Not published for this unit,356,3455,7992,779,0,0,Not published for this unit,Not available,Not available,71,27275,255,620,31,Not available,Not available,242,195,6,2,9,21,23,120,14,34,11,2,177,3,5,36,21,242,177,5,0,0,0,236,47065,14726,32339,673280,42480,30430,0,1610,1068,659,Result of merge,136,1646,1084,Result of merge,Sum with missing value(s),125,127,1300,1552,0,0,15,15,1,2,3687,3690,1640,209,481,20,445830,49423,0,8906,49410,3726,22356,458300,151790,256018,217093
CHEYENNE,08017,1,772,1340,744,402,232,159,188,126,0,0,2,1,83,175,25,31,Not available,Not available,0,0,0,0,30,1,0,0,0,0,Not published for this unit,Not published for this unit,0,1,0,0,0,0,Not published for this unit,Not available,Not available,10,135,2,930,120,16,230,57,2038,1,2,1,1,0,29,0,8,3,12,37,8,7,2,1,57,37,7,0,0,0,49,116191,2740,113451,1171200,7520,14040,0,2628,2584,2031,Result of merge,241,3566,169,Result of merge,Sum with missing value(s),148,179,867,1194,0,0,24,24,4400,6330,4900,15630,55,66,48,19,48000,6020,0,1659,10070,11342,68052,141630,30370,461403,141717
CLEAR CREEK,08019,1,574,452,94,84,20,30,0,0,0,0,270,233,190,105,71,32,Not available,Not available,1,30,0,0,3630,197,2,30,7,180,Not published for this unit,Not published for this unit,0,0,5,1,83,2,Not published for this unit,Not available,Not available,5,3765,52,40,2,Not available,Not available,31,351,4,3,2,1,0,12,1,2,4,2,22,2,2,3,1,31,22,2,0,0,0,29,10888,1196,9692,266240,3350,2470,0,136,42,7,Result of merge,19,55,114,Result of merge,Sum with missing value(s),4,9,127,140,3,0,2,5,0,0,0,0,5,374,828,3,34400,4460,0,618,3980,0,0,73590,15780,18714,11487
CONEJOS,08021,0,23488,23766,19327,17392,20,30,2277,4505,0,0,800,1600,761,542,696,709,Not available,Not available,916,17410,0,0,195090,9387,20,300,14103,197890,Not published for this unit,Not published for this unit,16,208,31300,2149,0,0,Not published for this unit,Not available,Not available,5,109005,1144,70,6,Not available,Not available,617,338,0,3,8,143,111,202,40,64,20,26,465,30,13,14,95,617,465,13,0,0,0,529,208245,98960,109285,890880,94510,35390,0,4343,1789,945,Result of merge,581,2024,1354,Result of merge,Sum with missing value(s),337,509,3324,4170,18,15,27,60,53690,113174,19506,186370,1931,93,175,73,372250,73762,338,15348,75860,134006,670030,1804710,284870,1154600,538772
COSTILLA,08023,0,11974,12715,10498,8262,20,40,1953,3462,0,0,111,125,99,119,35,40,Not available,Not available,97,1340,0,0,61690,4180,2,20,19163,213550,Not published for this unit,Not published for this unit,139,1443,4596,344,0,0,Not published for this unit,Not available,Not available,16,5670,63,30,3,Not available,Not available,331,1916,9,3,1,33,42,74,15,92,28,34,166,89,3,13,60,331,166,3,0,0,0,311,634205,79678,554527,1169280,54970,30890,0,3712,1378,267,Result of merge,415,1964,862,Result of merge,Sum with missing value(s),427,429,3014,3870,7,5,103,115,12290,16371,1597,30258,1582,15,67,1,328164,54764,1798,7762,62310,18450,90570,1673870,137810,586969,311669
