NAME,UNFIPS,GP,OAT_XH_A,OAT_XH_B,WHT_XH_A,WHT_XH_B,EMM_XH_A,EMM_XH_B,BAR_XH_A,BAR_XH_B,BWT_XH_A,BWT_XH_B,RYE_XH_A,RYE_XH_B,FLX_XH_A,FLX_XH_B,HAY_XH_A,HAY_XH_T,HAY_AH_A,HAY_KQ_A,HAY_KS_A,HAY_KR_A,HAY_KL_A,HAY_KV_A,HAY_KW_A,HAY_KT_A,HAY_KY_A,HAY_KF_A,CRN_GH_A,CRN_GH_B,SRG_KK_A,SRG_KK_B,PEA_XH_A,PEA_XH_B,BEA_XH_A,BEA_XH_B,PNT_XH_A,PNT_XH_B,POT_XH_A,POT_XH_B,VEG_XH_A,COT_XH_A,COT_XH_C,BET_XH_A,BET_XH_T,SRG_MH_A,SRG_MH_T,FRM_XX_Q,FRM_NW_Q,FRM_LW_Q,FRM_XN_Q,FRM_SA_Q,FRM_SB_Q,FRM_SC_Q,FRM_SD_Q,FRM_SE_Q,FRM_SF_Q,FRM_SG_Q,FRM_SH_Q,FRM_SI_Q,FRM_SL_Q,ARE_XX_A,FML_XX_A,WOD_XX_A,FRM_OF_Q,FRM_OB_Q,FRM_OP_Q,FML_OF_A,IML_OF_A,FRM_ON_Q,FRM_TX_Q,FML_TX_A,IML_TX_A,FRM_TQ_Q,FRM_TH_Q,FRM_TC_Q,FRM_TU_Q,FRM_TN_Q,FRM_MX_Q,FML_MX_A,IML_MX_A,FRM_IX_Q,FML_IX_A,IMP_XX_V,PRP_OF_V,PRP_TX_V,PRP_MX_V,FRT_RX_Q,FRT_BX_V,CTL_XX_Q,CTL_MX_Q,HRS_XX_Q,MUL_XX_Q,SWN_XX_Q,SHP_XX_Q,POL_XX_Q,MLK_XX_G,BUT_XX_P,CHS_XX_P,EGG_XX_D,CTL_XN_Q,HRS_XN_Q,SWN_XN_Q,CRO_XX_V,CER_XX_V,OGS_XX_V,HAY_XX_V,VEG_XX_V,FRU_XX_V,OFC_XX_V
ADAMS,08001,1,6483,185094,18763,455675,152,2767,2563,67368,Not published for this unit,Not published for this unit,231,3589,0,0,28011,55018,18828,262,147,90,17790,332,207,7009,439,1720,11340,187263,103,1073,0,0,83,377,Not published for this unit,Not published for this unit,260,22225,1978,Not published for this unit,Not published for this unit,1349,13206,Not published for this unit,Not published for this unit,1357,875,475,7,24,118,136,113,104,409,78,275,67,33,807680,363785,4630,1012,904,108,245350,60224,4,322,83705,41653,175,2,134,11,3,23,34730,7361,726,67339,322648,7464920,5656640,1167800,18,925,13106,5052,6313,210,4428,15749,60481,2322254,187936,9100,270434,131,407,7864,1388685,656098,1029,414945,196513,46504,73596
ARAPAHOE,08005,1,2236,64620,4159,100337,89,1632,345,11731,Not published for this unit,Not published for this unit,314,4352,0,0,17179,41915,9900,112,180,134,8856,385,233,4772,325,2177,6929,129574,13,220,5,95,267,1582,Not published for this unit,Not published for this unit,138,6453,1034,Not published for this unit,Not published for this unit,78,245,Not published for this unit,Not published for this unit,948,684,254,10,27,208,102,82,49,229,22,141,45,43,538880,284917,3119,740,691,49,211379,32456,5,180,32248,13461,35,6,87,52,4,28,41290,16691,493,26341,200004,6446745,2624860,1099100,13,2342,13094,4591,4227,147,2754,21285,51788,1668329,99961,5150,218850,389,598,54,683744,224088,6228,344904,76745,23526,8253
ARCHULETA,08007,0,3582,74534,407,6885,0,0,57,1103,Not published for this unit,Not published for this unit,10,200,0,0,7979,12681,5095,1645,262,5,1355,2,1826,1978,902,4,288,6428,0,0,6,85,7,179,Not published for this unit,Not published for this unit,137,21506,58,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,282,250,32,0,6,0,2,8,17,138,23,69,16,3,780800,85130,17332,227,217,10,57986,12603,0,55,27144,3492,11,0,42,2,0,0,0,0,206,15008,61670,981830,236000,0,0,0,12125,1242,1957,27,771,48193,6503,114900,26419,125,31684,57,310,1,188893,55645,740,111049,19733,701,1025
BACA,08009,1,38,470,453,3419,288,2700,0,0,Not published for this unit,Not published for this unit,5,51,0,0,12561,15220,218,0,0,0,210,8,0,30,20,12293,467,3851,5964,62175,0,0,20,92,Not published for this unit,Not published for this unit,6,235,142,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,540,528,12,0,2,1,0,4,8,225,12,204,37,47,1633280,257344,2818,524,515,9,253299,33813,0,16,4045,1140,0,0,1,15,0,0,0,0,8,211,74530,1070364,20500,0,1,50,12211,1186,4097,441,590,48419,10545,126002,29866,0,46060,23,58,1,186045,50539,1397,79589,6126,354,48040
BENT,08011,1,2407,80484,3842,96828,483,11466,706,23759,Not published for this unit,Not published for this unit,0,0,0,0,27485,51078,26507,0,0,50,26205,32,220,365,0,613,844,9515,499,7521,0,0,12,122,Not published for this unit,Not published for this unit,0,0,365,Not published for this unit,Not published for this unit,2742,31287,Not published for this unit,Not published for this unit,463,389,67,7,3,10,5,21,64,158,48,107,30,17,975360,168297,1275,300,220,80,84914,33531,1,152,35654,23324,122,4,20,6,6,11,47729,3064,404,59497,163201,3248395,2300335,888951,3,160,10620,1344,5492,468,4277,46074,29475,357382,84433,250,162356,58,167,8,718412,157764,16647,334107,32809,9210,167875
BOULDER,08013,1,5819,197766,23285,741913,35,1256,5070,168700,Not published for this unit,Not published for this unit,16,405,0,0,34645,79546,28499,1269,646,3,26027,58,496,5204,537,275,2184,50095,0,0,23,733,17,179,Not published for this unit,Not published for this unit,568,58597,667,Not published for this unit,Not published for this unit,4800,57267,Not published for this unit,Not published for this unit,1181,864,313,4,20,144,90,129,195,331,108,116,33,15,488960,190922,21546,758,653,105,105304,62842,3,405,74392,46752,233,11,138,23,1,18,11226,3637,1118,112724,377553,8136060,5548965,1059425,16,1620,16145,4779,6296,326,3961,9038,68242,1511228,402322,1224,406648,4611,2408,398,2093365,926640,1246,607087,87985,149044,321363
CHAFFEE,08015,0,2654,69268,819,19501,0,0,103,2292,Not published for this unit,Not published for this unit,0,0,0,0,5401,10141,3961,382,723,6,2840,0,10,953,481,6,0,0,0,0,1299,22363,0,0,Not published for this unit,Not published for this unit,272,44171,54,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,230,156,74,0,3,21,17,19,24,87,18,34,5,2,693120,37286,4764,194,191,3,29897,13894,0,33,6746,2364,12,0,16,5,0,3,643,475,212,16142,84730,1223590,174500,181000,10,228,6596,849,1515,11,2699,145,10098,268079,32193,1550,44058,156,464,53,257305,68982,26299,109778,26061,9452,16733
CHEYENNE,08017,1,485,12280,2931,35724,132,3300,287,4929,Not published for this unit,Not published for this unit,40,520,141,754,8171,12404,2116,0,0,0,157,1582,377,1263,59,4731,5738,91229,186,1924,0,0,33,240,Not published for this unit,Not published for this unit,312,22359,128,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,791,687,104,0,4,0,0,1,2,415,15,323,22,9,1137280,216210,313,784,754,30,208769,70390,0,4,515,245,2,0,1,1,0,3,6926,5120,1,200,107728,2539151,6750,70200,6,346,14579,2281,3175,206,655,21161,16808,344080,46810,0,62472,43,77,2,198616,92334,3317,76904,24937,123,1001
CLEAR CREEK,08019,1,300,3733,2,60,0,0,0,0,Not published for this unit,Not published for this unit,1,10,0,0,625,1008,250,233,17,0,0,0,0,102,273,0,0,0,0,0,0,0,0,0,Not published for this unit,Not published for this unit,64,5615,41,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,29,17,12,0,1,0,0,4,0,6,3,8,2,5,249600,16076,13327,24,23,1,9611,964,0,2,185,60,0,0,1,1,0,3,6280,270,0,0,6745,112300,5600,73800,0,0,492,151,134,3,14,0,779,57825,7027,0,8745,604,458,77,31521,1800,0,14675,9743,32,5271
CONEJOS,08021,0,11445,286289,9620,183844,0,0,2149,57829,Not published for this unit,Not published for this unit,0,0,0,0,49034,42981,3339,1,26,0,3029,0,283,36516,9159,0,6,79,0,0,7795,92088,93,796,Not published for this unit,Not published for this unit,1123,127743,54,Not published for this unit,Not published for this unit,1,12,Not published for this unit,Not published for this unit,756,697,57,2,12,21,25,93,110,216,80,137,41,21,891520,188650,7920,605,489,116,150608,101830,1,148,34302,26646,113,2,20,13,1,3,3740,3440,737,138788,227377,5110507,1233680,152800,31,869,20604,2095,5279,153,9368,145227,29072,305050,55209,4145,174309,712,759,500,942598,384514,136356,355882,59817,2090,3939
COSTILLA,08023,0,2652,46034,2612,36757,0,0,1203,12274,Not published for this unit,Not published for this unit,0,0,0,0,8992,9617,4248,60,50,0,989,0,3149,4593,151,0,54,563,0,0,4349,45653,226,1613,Not published for this unit,Not published for this unit,246,20270,4,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,387,360,27,0,5,4,16,64,57,100,24,71,31,15,1133440,159366,25465,303,275,28,71212,33054,0,77,20234,14138,50,6,15,6,0,7,67920,67420,350,57882,91669,2118657,628560,357400,2,250,9513,996,2140,117,2370,35479,9220,92652,13730,0,23906,130,325,37,248842,75379,60116,102235,10549,406,157
CUSTER,08027,1,3666,78691,603,8188,12,300,453,7735,Not published for this unit,Not published for this unit,19,202,0,0,15405,16583,3162,761,64,15,1387,0,935,10478,1681,84,735,9870,0,0,27,633,0,0,Not published for this unit,Not published for this unit,363,38958,43,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,249,148,101,0,3,1,0,1,9,95,22,73,30,15,478080,90709,14539,204,179,25,70558,19337,0,44,16151,7343,22,0,10,12,0,1,4000,400,142,29248,91906,1232480,319020,20000,1,75,12330,1281,1898,32,611,111,9101,104690,54157,120,28521,47,51,11,268089,61516,1144,168960,21090,1728,13651
