NAME,UNFIPS,GP,OAT_XH_A,OAT_XH_B,WHT_XH_A,WHT_XH_B,BAR_XH_A,BAR_XH_B,RYE_XH_A,RYE_XH_B,BWT_XH_A,BWT_XH_B,EMM_XH_A,EMM_XH_B,FLX_XH_A,FLX_XH_B,HAY_XH_A,HAY_XH_T,HAY_KS_A,HAY_KR_A,HAY_KL_A,HAY_KW_A,HAY_KT_A,HAY_KM_A,HAY_KA_A,HAY_KG_A,HAY_KG_T,CRN_AH_A,CRN_GH_A,CRN_GH_B,SRG_AS_A,SRG_KK_A,BEA_XH_A,BEA_XH_B,PEA_XH_A,PEA_XH_B,PNT_XH_A,PNT_XH_B,CRN_FC_A,CRN_FC_T,SRG_FH_A,SRG_FC_T,POT_XH_A,POT_XH_B,VEG_XH_A,COT_XH_A,COT_XH_C,BET_XH_A,BET_XH_T,FRM_XX_Q,FRM_XD_Q,FRM_XE_Q,FRM_NW_Q,FRM_LW_Q,FRM_XN_Q,FRM_SA_Q,FRM_SB_Q,FRM_SC_Q,FRM_SD_Q,FRM_SE_Q,FRM_SF_Q,FRM_SG_Q,FRM_SH_Q,FRM_SI_Q,FRM_SL_Q,ARE_XX_A,FML_XX_A,IML_XX_A,WOD_XX_A,UNL_XO_A,UNL_XX_A,FRM_OF_Q,FML_OF_A,IML_OF_A,FRM_OB_Q,FRM_OP_Q,FRM_ON_Q,FRM_MX_Q,FML_MX_A,IML_MX_A,FRM_TX_Q,FML_TX_A,IML_TX_A,FRM_TT_Q,FRM_TM_Q,FRM_TH_Q,FRM_TC_Q,FRM_TB_Q,FRM_TU_Q,FRM_TN_Q,FRM_IX_Q,FML_IX_A,DRA_EX_Q,DRA_ED_A,DRA_EX_A,DRA_EG_A,DRA_KE_A,DRA_WI_A,DRA_WJ_A,DRA_WK_A,DRA_WL_A,DRA_WM_A,DRA_WS_A,DRA_QA_A,DRA_QB_A,DRA_QC_A,DRA_QD_A,DRA_QE_A,DRA_QF_A,DRA_QG_A,DRA_QH_A,DRA_QJ_A,DRA_QK_A,DRA_QI_A,DRA_QL_A,PRP_XA_V,IMP_XX_V,PRP_OF_V,PRP_MX_V,PRP_TX_V,PRP_XX_V,FRT_RX_Q,FRT_XX_V,DRA_WT_M,DRA_IE_H,DRA_JE_G,DRA_WI_M,DRA_WK_M,HRS_XX_Q,MUL_XX_Q,CTL_XX_Q,CTL_HV_Q,CTL_MX_Q,SHP_XX_Q,SWN_XX_Q,CHK_XX_Q,MLK_XX_G,BUT_XX_P,CHS_XX_P,EGG_XX_D,WOL_XX_P,HRS_XN_Q,CTL_XN_Q,CTL_MN_Q,SHP_XN_Q,SWN_XN_Q,FML_XX_V,BLD_XX_V,STK_XX_V,CRO_XX_V,CER_XX_V,OGS_XX_V,HAY_XX_V,VEG_XX_V,FRU_XX_V,OFC_XX_V
ADAMS,08001,1,3880,60886,71483,469880,1701,21489,2508,10396,Not published for this unit,Not published for this unit,131,2014,Not published for this unit,Not published for this unit,42571,80972,57,66,22209,1015,2047,2473,288,2749,7128,19892,13096,128186,4660,0,1829,4601,0,0,Not published for this unit,Not published for this unit,6796,5501,4660,3816,1286,98811,2591,Not published for this unit,Not published for this unit,6640,64296,1753,1708,45,1144,552,57,5,134,173,200,202,360,94,370,162,53,807680,452115,229192,5118,217805,222923,1235,319509,152356,974,261,12,33,28303,10511,485,104303,66325,287,Not available,3,146,Not available,49,45,740,66407,40,994,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,31307933,1663876,16079651,1982000,8839560,26901211,100,18211,Not available,Not available,Not available,Not published for this unit,Not published for this unit,10117,496,23450,3362,12033,10229,15222,86425,2494364,133658,854,396571,14478,171,108,71,0,147,23391820,3509391,2742846,4130754,1251785,20924,1376588,731832,74517,675108
ALAMOSA,08003,0,2604,49014,1534,20601,853,13552,2,40,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,35249,44349,0,38,15946,320,18196,336,330,48,200,0,0,0,25,0,327,3600,1839,16599,Not published for this unit,Not published for this unit,0,0,25,40,1942,199825,11,Not published for this unit,Not published for this unit,5,20,302,294,8,254,48,0,1,1,1,9,13,116,17,85,38,21,465280,236847,60952,4252,171643,175895,220,211368,48091,165,55,0,9,4198,1810,73,21281,11051,54,Not available,2,17,Not available,0,0,281,89805,47,8291,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,7849929,296947,4802215,177800,1184400,6164415,1,200,Not available,Not available,Not available,Not published for this unit,Not published for this unit,2789,206,16343,1609,1447,19777,5530,14931,338283,49263,195,57612,66732,104,414,142,176,39,5649490,514925,1388567,1443424,121527,64801,802651,454235,0,210
ARAPAHOE,08005,1,1181,24890,36825,293625,1117,17517,1304,6622,Not published for this unit,Not published for this unit,78,1262,Not published for this unit,Not published for this unit,29239,60908,40,27,14012,612,939,1425,138,3337,8097,15997,10334,104566,2969,0,2405,5883,0,0,Not published for this unit,Not published for this unit,5663,5588,2969,2926,306,15977,261,Not published for this unit,Not published for this unit,1114,17006,1025,992,33,782,236,7,28,179,110,116,68,123,40,197,104,60,538880,343005,113662,28199,201144,229343,755,266478,81386,607,148,4,28,26709,8866,242,49818,23410,80,Not available,4,117,Not available,41,3,477,25674,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,20733313,957668,12170955,1248570,3754880,17174405,35,4558,Not available,Not available,Not available,Not published for this unit,Not published for this unit,5741,360,23862,3271,9217,29935,7404,61807,2346534,56175,0,292570,167875,346,409,274,2,253,14345780,2828625,2601240,2262590,809298,21560,1006153,154217,92799,178563
ARCHULETA,08007,0,2419,92146,1451,30567,791,21877,11,163,Not published for this unit,Not published for this unit,4,216,Not published for this unit,Not published for this unit,17257,28836,6228,3,5034,910,3284,1430,39,0,0,346,342,4536,13,0,84,543,49,647,Not published for this unit,Not published for this unit,4,9,13,33,286,17178,7,Not published for this unit,Not published for this unit,0,0,420,402,18,392,27,1,6,0,2,13,35,178,44,73,37,32,780800,146028,28234,54166,63628,117794,365,121271,22127,320,45,1,5,3524,1433,50,21233,4674,32,Not available,0,13,Not available,5,0,185,11933,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,4597601,241003,2316685,69375,465900,2851960,3,2060,Not available,Not available,Not available,Not published for this unit,Not published for this unit,2472,67,15905,1708,521,30533,3095,12408,295840,41100,0,65742,151359,42,19,11,0,5,2506390,345570,1504638,822189,185879,10731,562580,61914,1085,0
BACA,08009,1,674,11183,23407,305511,1681,25898,3236,41520,Not published for this unit,Not published for this unit,253,4198,Not published for this unit,Not published for this unit,63143,96487,0,47,2054,653,69,294,172,1290,5255,18989,16388,334341,112324,56381,934,9802,34,137,Not published for this unit,Not published for this unit,2601,3131,55943,84322,113,4293,189,Not published for this unit,Not published for this unit,0,0,1858,1789,69,1821,33,4,0,0,4,6,17,111,96,1041,412,171,1633280,1051279,380974,4106,666199,670305,1663,939603,338211,1048,615,4,3,4830,120,192,106846,42643,143,Not available,0,35,Not available,14,0,23,2287,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,16994134,947605,11102029,19300,1390068,12511397,7,1412,Not available,Not available,Not available,Not published for this unit,Not published for this unit,13290,2465,43832,5426,7675,7263,8792,83285,1497574,160778,70,346884,38275,23,29,15,0,23,11218837,1292560,3535132,3998408,2394154,48677,1256689,78699,9298,210891
BENT,08011,1,1520,53834,12534,374406,1435,41819,157,1655,Not published for this unit,Not published for this unit,112,2569,Not published for this unit,Not published for this unit,48866,97361,8,50,23312,486,649,151,52,688,3904,7104,5094,123315,31794,10468,507,3628,16,63,Not published for this unit,Not published for this unit,2010,3042,21326,37407,27,1514,171,Not published for this unit,Not published for this unit,5950,58588,1056,1040,16,940,92,24,1,4,8,27,93,217,71,434,144,57,975360,433970,102037,4706,327227,331933,813,366227,69732,640,173,2,12,10519,2692,231,57224,29613,162,Not available,10,55,Not available,4,21,438,128712,69,4725,11550,974,Not available,Not published for this unit,Not available,1850,Not available,Not available,Not available,8736,6477,Not available,Not available,2814,5073,974,3341,Not published for this unit,Not available,Not published for this unit,Not published for this unit,18342181,862049,8734502,520412,5260760,14515674,12,1434,Not available,Not available,Not available,5,18,7554,789,28008,3320,6110,61229,4378,49244,1393531,86662,32,243013,88063,361,141,113,2231,122,13047393,1468281,2964458,3584945,1293152,62940,1540771,53269,16736,618077
BOULDER,08013,1,2628,65217,30064,571064,3359,72178,82,484,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,37488,81777,1270,15,25619,378,3785,983,16,3513,15760,3786,3034,54637,50,0,2,9,143,1145,Not published for this unit,Not published for this unit,752,1385,50,82,475,38427,823,Not published for this unit,Not published for this unit,7500,59838,1420,1371,49,1105,309,6,36,198,132,145,272,337,109,129,41,21,488960,221202,119530,32177,69495,101672,996,150425,71116,828,168,2,16,4394,2899,408,66383,45515,239,Not available,8,128,Not available,33,4,1200,159781,358,11499,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,27649829,1517998,14384037,549448,8409666,23343151,34,27872,Not available,Not available,Not available,Not published for this unit,Not published for this unit,7367,351,28859,2963,9794,6736,7541,92449,2411378,193720,2785,439544,11913,912,2654,728,15,361,19765048,3578103,2788680,3834693,1410627,45464,1369686,201952,178603,628361
CHAFFEE,08015,0,2186,70162,2131,46869,1096,31733,8,112,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,11820,20974,1913,13,5735,192,1873,303,120,43,325,11,0,0,0,0,2,12,2177,31392,Not published for this unit,Not published for this unit,11,32,0,0,698,49803,48,Not published for this unit,Not published for this unit,0,0,326,316,10,261,65,0,0,30,19,30,40,105,38,39,18,7,693120,65407,25926,8049,31432,39481,243,48614,18856,231,12,0,10,4167,1842,73,12626,5228,37,Not available,1,34,Not available,1,0,313,29623,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,4349698,223023,2326850,256535,590500,3173885,8,1133,Not available,Not available,Not available,Not published for this unit,Not published for this unit,1973,15,13811,1722,1635,734,4872,13227,359044,31307,30,60864,2385,274,178,119,10,119,2559235,614650,952790,823323,205461,78525,399387,138751,1199,0
CHEYENNE,08017,1,158,2151,2837,35692,2580,41428,870,8336,Not published for this unit,Not published for this unit,35,200,Not published for this unit,Not published for this unit,28342,42183,0,49,633,1282,895,532,70,849,2818,23923,17259,303550,17843,475,80,789,0,0,Not published for this unit,Not published for this unit,6664,9031,17368,26620,364,9198,176,Not published for this unit,Not published for this unit,0,0,674,656,18,575,99,0,0,3,1,0,7,91,26,356,128,62,1137280,490382,77482,7162,405738,412900,574,437106,66826,434,140,0,5,5690,664,95,47586,9992,61,Not available,2,27,Not available,5,0,Combined with 'all other',Combined with 'all other',Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,18075769,446526,13598865,144000,1437645,15180510,4,594,Not available,Not available,Not available,Not published for this unit,Not published for this unit,5770,520,37479,4531,6517,8922,4363,35761,1027285,47709,100,144948,27605,36,60,42,2,15,14295355,885155,2448733,1238165,575808,52203,554901,53687,883,683
CLEAR CREEK,08019,1,90,1752,15,172,18,325,6,80,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,793,856,161,25,30,44,135,186,40,0,0,16,0,0,0,0,0,0,0,0,Not published for this unit,Not published for this unit,16,31,0,0,46,2283,10,Not published for this unit,Not published for this unit,0,0,27,25,2,22,5,0,1,0,1,2,1,4,3,9,2,4,249600,15402,1617,11699,2086,13785,19,6003,964,15,4,0,2,6800,350,6,2599,303,0,Not available,0,6,Not available,0,0,Combined with 'all other',Combined with 'all other',Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,633116,29960,216500,295000,37100,548600,0,0,Not available,Not available,Not available,Not published for this unit,Not published for this unit,138,1,780,88,59,12,54,826,19340,2260,0,3701,50,143,256,88,0,6,487850,60750,54556,26325,2557,0,16041,7727,0,0
CONEJOS,08021,0,4230,86812,8842,156383,9810,225434,11,144,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,40226,48856,88,402,13231,12132,8538,3032,2620,40,160,18,14,159,0,0,477,3609,9379,84877,Not published for this unit,Not published for this unit,4,2,0,0,2714,210093,8,Not published for this unit,Not published for this unit,0,0,814,786,28,792,22,0,2,9,29,134,149,220,96,119,35,21,801280,231938,128018,9362,94558,103920,655,140769,97132,540,115,0,8,14812,7531,151,76357,23355,96,Not available,2,50,Not available,3,0,734,139504,24,14476,17100,550,Not available,Not published for this unit,Not available,4000,Not available,Not available,Not available,9163,1563,Not available,Not available,7937,15537,550,15950,Not published for this unit,Not available,Not published for this unit,Not published for this unit,15034689,594970,8219432,1147650,2131229,11498311,17,1002,Not available,Not available,Not available,21,75,4736,321,19583,2593,2291,124697,14198,30809,384429,57218,472,129595,676674,331,588,289,752,399,10348674,1149637,2941408,2405527,698119,370055,850096,487248,9,0
COSTILLA,08023,0,2416,62108,5984,97384,2823,66219,138,885,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,11067,14298,62,193,4803,108,4506,1017,259,46,565,43,43,708,0,0,338,3198,8656,99773,Not published for this unit,Not published for this unit,0,0,0,0,230,6726,5,Not published for this unit,Not published for this unit,0,0,443,438,5,417,26,0,0,14,26,100,114,75,42,44,16,12,758400,434410,46598,80229,307583,387812,325,328910,32900,258,67,0,7,10779,1634,111,94721,12064,72,Not available,1,35,Not available,3,0,431,36771,115,6557,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,7673869,262236,4469302,279800,1462695,6211797,74,450,Not available,Not available,Not available,Not published for this unit,Not published for this unit,2079,153,6404,703,903,41338,13033,15335,125552,20962,875,58991,119761,275,254,90,336,168,5687545,524252,1199836,887525,347973,260374,254082,25079,17,0
CROWLEY,08025,1,1790,45167,2301,49684,1872,48638,31,247,Not published for this unit,Not published for this unit,25,64,Not published for this unit,Not published for this unit,25377,59089,0,0,15394,512,179,94,0,1106,7989,11038,9625,185808,7425,754,870,5305,21,113,Not published for this unit,Not published for this unit,1413,2761,6671,8393,223,5416,1784,Not published for this unit,Not published for this unit,3823,30586,743,720,23,604,131,8,2,17,27,86,123,125,27,230,68,38,517120,263265,130645,2764,129856,132620,515,207498,89297,374,141,3,12,8379,7444,216,47388,33904,147,Not available,9,56,Not available,4,5,447,57789,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,12968714,538004,6332161,968950,3706153,11007264,8,4925,Not available,Not available,Not available,Not published for this unit,Not published for this unit,4256,440,16026,2173,4445,485,6185,31957,663586,58775,72,126948,400,210,245,146,0,169,9922200,1085064,1423446,2255446,481754,35425,962464,239267,215351,321185
CUSTER,08027,1,3024,71088,1655,30803,1354,27018,122,1893,Not published for this unit,Not published for this unit,36,613,Not published for this unit,Not published for this unit,20459,28386,1324,51,2760,11436,1032,2240,164,100,360,1065,338,4391,11,0,36,85,85,1125,Not published for this unit,Not published for this unit,727,1018,11,8,1182,50269,7,Not published for this unit,Not published for this unit,0,0,353,335,18,263,90,0,0,3,0,4,5,68,25,131,85,32,478080,197360,36896,30886,129578,160464,299,145599,26089,245,54,0,6,33618,2275,48,18143,8532,25,Not available,0,23,Not available,0,0,165,24241,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,4403088,240746,2305663,445000,467630,3218293,3,380,Not available,Not available,Not available,Not published for this unit,Not published for this unit,2120,69,14733,1815,1848,157,1518,14464,320248,44468,257,54534,376,163,161,66,0,42,2655668,562625,944049,801319,181404,4073,487584,126546,1712,0
DELTA,08029,0,4083,127699,5514,121750,460,11119,30,402,Not published for this unit,Not published for this unit,14,220,Not published for this unit,Not published for this unit,33520,93335,9,85,30203,249,321,1184,8,588,4312,3154,2758,85706,42,0,53,975,7,49,Not published for this unit,Not published for this unit,396,1261,42,97,2916,456548,288,Not published for this unit,Not published for this unit,2621,24915,1707,1652,55,1517,178,12,9,87,165,504,400,327,105,84,23,3,768640,169768,74473,6427,88868,95295,1245,117041,50040,1034,211,2,33,13840,4014,429,38887,20419,280,Not available,20,121,Not available,8,10,1680,93509,122,2427,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,18433634,932502,10080895,877100,3413550,14371545,28,1433,Not available,Not available,Not available,Not published for this unit,Not published for this unit,7667,401,34331,4144,7858,22975,10644,62205,1856027,219679,4132,376234,116693,914,1742,501,931,958,11971905,2399640,3129587,5714135,507658,9119,1679120,1247767,2008494,261977
DENVER,08031,1,64,2457,398,8337,21,230,62,541,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,1138,3555,45,0,739,3,0,51,7,238,738,419,373,7131,4,0,2,20,0,0,Not published for this unit,Not published for this unit,46,90,4,7,128,4444,423,Not published for this unit,Not published for this unit,7,56,239,228,11,124,115,0,88,83,24,17,16,9,0,2,0,0,37120,4287,3672,27,588,615,166,2546,2133,140,26,0,6,130,110,67,1611,1429,3,Not available,0,58,Not available,6,0,118,4000,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,3458640,110226,2023500,75046,1009100,3107646,10,450,Not available,Not available,Not available,Not published for this unit,Not published for this unit,347,8,1837,272,1805,192,628,10128,822880,4957,20,61129,6,3716,7561,767,10772,2329,2103421,1004225,240768,283710,30620,68,59304,187261,5869,588
DOLORES,08033,0,248,6177,422,7378,20,229,5,20,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,1914,3136,58,50,617,8,114,563,0,0,0,2812,2795,57188,259,0,9,28,0,0,Not published for this unit,Not published for this unit,17,27,259,579,86,5785,0,Not published for this unit,Not published for this unit,0,0,186,185,1,177,9,0,0,0,0,0,2,45,11,121,6,1,667520,57889,7278,6877,43734,50611,181,56829,7008,167,14,0,2,320,110,3,740,160,2,Not available,0,1,Not available,0,0,21,1023,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,1194227,41300,735980,6500,11000,753480,0,0,Not available,Not available,Not available,Not published for this unit,Not published for this unit,951,84,4386,399,115,1703,421,4355,23959,4735,0,12453,8933,54,54,32,0,0,668446,85034,399447,179844,101457,95,55046,23109,137,0
DOUGLAS,08035,1,3229,55787,9206,87874,302,4225,1757,13439,Not published for this unit,Not published for this unit,0,0,Not published for this unit,Not published for this unit,27856,49348,2849,10,7897,818,1276,3982,0,4173,14800,11976,5949,97393,507,0,50,229,0,0,Not published for this unit,Not published for this unit,6027,9260,507,1104,277,8344,0,Not published for this unit,Not published for this unit,0,0,462,442,20,385,77,0,0,2,1,7,16,56,28,121,137,94,540800,362033,56701,28159,277173,305332,354,266918,41967,270,84,0,10,22773,1559,98,72342,13175,44,Not available,4,45,Not available,5,0,108,8696,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not available,Not published for this unit,Not available,Not available,Not available,Not published for this unit,Not published for this unit,Not available,Not available,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not available,Not published for this unit,Not published for this unit,12915906,524880,7786870,552850,2109115,10448835,1,300,Not available,Not available,Not available,Not published for this unit,Not published for this unit,3574,84,25560,3267,9934,682,3083,25931,2205906,40972,23455,129008,1007,51,69,48,0,33,9115595,1333240,1942191,1174106,396114,4316,739722,30187,3767,0
