FID_us1910	AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	FID_us1880	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
0	2319.037	255.972	WHATCOM	Washington	53073	2082.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	2319.034
0	2319.037	255.972	WHATCOM	Washington	53073	2082.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	0.001
1	1866.931	224.961	CLALLAM	Washington	53009	1726.0	1	1866.921	224.959	CLALLAM	Washington	53009	1685.3	1866.915
1	1866.931	224.961	CLALLAM	Washington	53009	1726.0	5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	0.015
2	202.592	93.505	SAN JUAN	Washington	53055	178.0	2	202.598	93.502	SAN JUAN	Washington	53055	179.0	202.591
3	5924.152	377.444	OKANOGAN	Washington	53047	5221.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	0.004
3	5924.152	377.444	OKANOGAN	Washington	53047	5221.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	5924.133
3	5924.152	377.444	OKANOGAN	Washington	53047	5221.0	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.016
4	1795.401	241.117	SKAGIT	Washington	53057	1774.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	1795.392
4	1795.401	241.117	SKAGIT	Washington	53057	1774.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	0.008
5	188.269	114.593	ISLAND	Washington	53029	208.0	4	188.267	114.595	ISLAND	Washington	53029	212.0	188.265
6	2501.915	236.601	FERRY	Washington	53019	2220.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	2501.914
6	2501.915	236.601	FERRY	Washington	53019	2220.0	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.001
7	2022.394	307.543	JEFFERSON	Washington	53031	1747.0	1	1866.921	224.959	CLALLAM	Washington	53009	1685.3	0.000
7	2022.394	307.543	JEFFERSON	Washington	53031	1747.0	5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	2022.389
7	2022.394	307.543	JEFFERSON	Washington	53031	1747.0	11	1011.035	202.591	MASON	Washington	53045	912.7	0.001
