state	county	name	farms	totpop	farm09	farm1019	farm2049	farm5099	farm100	farm500	farm1000	farmsize	farmown	fa09ow	fa1019ow	fa2049ow	fa5099ow	fa100ow	fa500ow	fa1000ow	farmten	fa09te	fa1019te	fa2049te	fa5099te	fa100te	fa500te	fa1000te	farmsc	fa09sc	fa1019sc	fa2049sc	fa5099sc	fa100sc	fa500sc	fa1000sc	farms2	acimp	acunimp	farmval	equipval	livstock	farmout	farmfert	sheep	sheepmer	sheepeng	sheepoth	lambs89	lambscon	lambssla	lambskil	lambsdie	fleeces	fleeclbs	cattle	oxen	cows	otcattle	cattpure	catthalf	cattcom	calves89	calvesol	calvesla	calvedie	milk	butter	cheese	horses	mules	asses	foals89	mulefo89	assfo89	swine	swinecon	swinedie	chickens	turkeys	geese	ducks	eggs	honey	wax	barleyac	barley	buckwhac	buckwhea	cornac	corn	oatsac	oats	ryeac	rye	wheatac	wheat	cottonac	cotton	cottseed	coseedva	flaxac	flaxseed	flaxstrw	flaxfibr	flaxval	hempac	hemp	csugarac	csugar	cmolas	ssugarac	ssugar	smolas	msugar	mmolas	hayac	hay	clovseed	grasseed	riceac	rice	tobacac	tobacco	hopsac	hops	canapeas	cowpeas	beansdry	brcornac	bromcorn	peanutac	peanuts	ipotatac	ipotato	spotatac	spotato	apples	appltree	apricots	apritree	cherries	chertree	peaches	peactree	pears	peartree	plumprun	plumtree	mgardval	horttrac	almondac	bananaac	citronac	cocnutac	figac	guavaac	kakiac	lemonac	limaac	madnutac	oliveac	orangeac	pecanac	pineapac	pomeloac	htreesb	almondtb	bananatb	citrontb	cocnuttb	figtb	guavatb	kakitb	lemontb	limetb	madnuttb	olivetb	orangetb	pecantb	pineaptb	pomelotb	htreesnb	almondtn	citrontn	cocnuttn	figtn	guavatn	kakitn	lemontn	limetn	madnutnb	olivetn	orangetn	pecantn	pomelotn	orangac2	oranges	orangepr	orangval	vinebac	vinenbac	grapeyld	grapeval	grapetab	grapewin	wine	wineval	raisin	raisinpr	vineyval	vineyemp	irrigats	irrac	farmown1	area	farmarea	cerealac	alfalfac	pctownir	irrvalac	farmfams	farmown2	farmfree	farmencu	farmrent	faown80	farent80	valfaenc	valfamtg	intfarm	region1	region2	fips	level
1	10	FAIRFIELD	4838	150081	475	699	1479	1263	919	2	1	59	4196	423	593	1292	1098	787	2	1	462	41	85	144	115	77	0	0	180	11	21	43	50	55	0	0	4838	202407	83294	23831975	531090	1763390	3112370	71572	2183	734	625	824	1322	851	131	111	69	1214	5214	27708	3029	18682	5997	766	2288	24654	14290	13673	273	300	7685690	976970	2378	8139	32	2	204	3	0	10921	6317	462	232659	8258	866	10011	1010372	23977	288	27	768	386	3803	6377	241715	4684	112325	2895	41243	162	2651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79494	99481	0	10	0	0	375	426093	0	0	27	61	29	0	0	0	0	4283	278249	0	0	539848	239272	1	21	347	2165	2319	11863	3490	8516	27	560	69922																																																																			285701	14531				4839	3986	2979	1007	853	4994	374	3852307	1398145	75688	1	1	9001	1
1	30	HARTFORD	4766	147180	452	579	1275	1206	1232	19	3	71	4281	392	516	1174	1086	1091	19	3	333	46	46	72	84	85	0	0	152	14	17	29	36	56	0	0	4766	238174	102586	19255110	675650	1847045	4436430	248845	2122	761	908	453	1418	560	68	93	80	1710	8178	36985	2168	24388	10429	2072	13004	21909	19435	15299	506	538	11954033	1652864	7928	8338	40	4	139	2	0	10707	5413	387	160150	1561	283	2980	956372	26615	1318	11	483	399	4325	9643	356364	1932	43491	3913	50529	32	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1235	51	72061	101772	30	4	0	0	4606	6598517	0	0	134	561	282	0	50	0	0	4847	454230	1	60	465839	172236	2	29	1043	1738	18528	29481	6730	9019	77	483	105959																																																																			340760	15930				4776	3919	2461	1458	857	5012	528	5203239	2141902	123519	1	1	9003	1
1	50	LITCHFIELD	4146	53542	167	246	671	1051	1981	24	6	113	3613	144	225	600	946	1671	21	6	276	16	18	46	61	134	1	0	257	7	3	25	44	176	2	0	4146	289455	178597	13893590	434590	1950840	2832420	36692	7828	1411	5005	1412	5101	3020	265	293	514	6263	28057	46239	3648	29398	13193	1550	8170	36519	25376	22956	744	925	13078887	1342404	27127	7533	24	2	238	0	0	10920	5860	534	137215	4242	408	2843	762717	40395	1311	55	917	909	10373	7208	260348	7594	186799	2814	34582	85	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7090	1093	107192	137575	25	20	0	0	1011	1376472	0	0	226	0	113	0	0	0	1	3589	196016	1	17	260837	208515	0	8	546	2994	745	5360	3655	9837	97	1283	17314																																																																			468052	18665				4147	3445	2186	1259	702	4284	472	4105216	1843064	100625	1	1	9005	1
1	70	MIDDLESEX	1989	39524	130	217	521	544	564	10	3	81	1853	120	195	490	513	523	9	3	87	6	15	20	21	24	1	0	49	4	7	11	10	17	0	0	1989	94455	65961	5955520	205660	619907	1012550	38328	2888	368	1384	1136	1644	1077	107	108	114	2828	10635	12698	2592	6384	3722	592	3160	8946	4498	3911	143	133	2269001	562852	995	2552	9	0	62	0	1	4143	2145	81	80935	2082	284	2295	407605	4370	107	12	265	194	2473	1771	52881	861	21846	1023	15436	81	1727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33724	39722	0	0	0	0	144	198587	0	0	9	28	46	1	400	0	0	1362	103168	1	11	141152	66400	0	15	120	398	8514	13719	1895	3214	21	235	18373																																																																			160416	3942				1993	1721	1257	464	272	2181	163	1117639	421839	23871	1	1	9007	1
1	90	NEW HAVEN	3305	209058	193	364	891	924	923	10	0	74	3054	181	341	829	848	845	10	0	217	11	22	57	63	64	0	0	34	1	1	5	13	14	0	0	3305	144064	101959	12565430	436375	1252760	2589250	109265	3593	428	721	2444	2116	1027	96	248	122	2658	11356	21533	2358	14483	4692	581	4291	16661	10556	10037	318	403	6855692	653970	2035	5754	54	0	106	2	0	7989	3729	400	162090	1932	703	5530	897669	11994	187	27	616	359	4781	4195	161456	1856	43635	3123	45911	66	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	59	167	38	60762	75079	0	0	0	0	40	41350	0	0	405	238	167	0	0	0	0	3347	245804	1	45	225566	154416	0	0	301	1249	5214	15502	3933	8481	21	244	104664																																																																			246023	9626				3311	2811	1910	901	500	3581	351	2837046	1144138	64743	1	1	9009	1
1	110	NEW LONDON	2737	76634	107	155	446	720	1275	27	7	114	2246	94	132	385	585	1020	24	6	362	12	18	47	106	175	3	1	129	1	5	14	29	80	0	0	2737	163685	148603	8203040	310740	1023266	1568360	43192	11447	4874	2833	3740	7184	3963	215	332	369	9895	35796	23993	3379	14045	6569	553	5344	18096	10051	6373	303	285	4965235	744795	7184	4299	26	2	129	0	0	6715	2803	545	123993	10489	1901	4002	646176	7099	144	19	325	442	4582	4795	170874	3027	72180	785	8596	7	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	79	0	0	65149	64374	14	24	0	0	0	0	0	0	73	30	564	0	93	0	0	2025	128353	3	231	143355	98451	0	17	181	1858	424	2793	3065	7581	20	371	21687																																																																			312288	9075				2802	2140	1591	549	662	2669	604	1445571	642712	34991	1	1	9011	1
1	130	TOLLAND	2070	25081	95	137	422	620	788	7	1	93	1869	88	122	384	562	706	6	1	154	6	13	33	45	56	1	0	47	1	2	5	13	26	0	0	2070	96062	95511	4979740	220090	641030	1055020	31531	2697	934	604	1159	1742	1108	130	160	129	2479	10498	15277	1792	8874	4611	538	3700	11039	6818	5823	155	249	3603463	651182	12606	3018	15	1	85	1	0	4298	2136	140	71984	680	131	1317	410260	6565	65	27	483	520	6689	2579	94490	1443	35269	742	9858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	76	0	151	37850	40702	0	3	0	0	155	233905	0	0	50	21	102	0	0	0	1	1515	114484	2	184	95478	70026	0	5	84	748	954	4781	1349	3506	73	507	11594																																																																			191573	5311				2070	1742	1134	608	328	2018	216	1325762	499494	28440	1	1	9013	1
1	150	WINDHAM	2499	45158	113	185	517	647	1018	18	1	99	2198	99	168	460	569	887	14	1	211	11	13	47	51	86	3	0	90	3	4	10	27	45	1	0	2499	151117	97502	6316190	261300	876380	1317910	30224	4894	1015	2781	1098	3549	1915	316	157	386	3872	16774	19228	2053	11638	5537	772	3957	14499	9072	7044	459	349	4001821	611058	52313	4131	67	1	90	0	0	6394	2626	239	106018	932	524	2506	546419	9617	263	95	1890	797	9078	3877	133851	3031	78146	805	8780	10	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	104	55496	54201	80	206	0	0	0	0	0	0	37	24	431	0	0	0	0	2122	137143	0	0	121649	105441	0	89	253	1530	597	5156	1745	4987	28	415	21694																																																																			248619	8615				2501	2001	1478	523	500	2733	418	1197779	476492	25132	1	1	9015	1
1	0	CONNECTICUT	26350	746258	1732	2582	6222	6975	8700	117	22	86	23310	1541	2292	5614	6207	7530	105	21	2102	149	230	466	546	701	9	1	938	42	60	142	222	469	3	0	26350	1379419	874013	95000595	3075495	9974618	17924310	609649	37652	10525	14861	12266	24076	13521	1328	1502	1783	30919	126508	203661	21019	127892	54750	7424	43914	152323	100096	85116	2901	3182	54413822	7196095	112566	43764	267	12	1053	8	1	62087	31029	2788	1075044	30176	5100	31484	5637590	130632	3683	273	5747	4006	46104	40445	1471979	24428	593691	16100	214935	443	7482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	214	8617	1437	511728	612906	149	267	0	0	6331	8874924	0	0	961	963	1734	1	543	0	2	23090	1657447	9	548	1993724	1114757	3	184	2875	12680	37295	88655	25862	55141	364	4098	371207																																																																			2253432	85695				26439	21765	14996	6769	4674	27472	3126	21084559	8567786	477009	1	1	9000	2
2	10	ANDROSCOGGIN	2862	48968	156	204	469	1013	1009	11	0	84	2718	144	195	448	960	960	11	0	98	11	9	12	35	31	0	0	46	1	0	9	18	18	0	0	2862	147233	94429	5457870	323680	980300	1390330	26399	6414	628	2614	3172	4667	3105	72	96	275	5685	31953	17800	1268	10991	5541	611	9626	7563	9019	6276	148	268	4409059	932291	57887	5124	7	2	359	0	1	5988	2389	214	65961	479	74	1106	475894	9563	131	416	8613	42	641	593	23227	3615	99888	18	214	38	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	1315	62665	61823	0	0	0	0	0	0	0	0	119	46	5388	0	0	0	0	1647	102077	0	25	291484	251552	0	0	16	1027	0	12	1406	4752	210	1702	22085																																																																			241662	4722				2868	2654	2133	521	214	2842	139	997100	398019	23319	1	1	23001	1
